Distance_(inches),Gray_Value
0.000000,33.6667
0.003333,46.5819
0.006667,54.9856
0.010000,57.3083
0.013333,57.5591
0.016667,57.9036
0.020000,57.9573
0.023333,55.9921
0.026667,51.5060
0.030000,51.7720
0.033333,57.1323
0.036667,61.0212
0.040000,61.0725
0.043333,57.9957
0.046667,53.4395
0.050000,51.3318
0.053333,50.8033
0.056667,49.4932
0.060000,48.0910
0.063333,46.4479
0.066667,46.3116
0.070000,46.1749
0.073333,46.5512
0.076667,48.5971
0.080000,52.2475
0.083333,55.8532
0.086667,60.6796
0.090000,64.1024
0.093333,68.1930
0.096667,75.2420
0.100000,81.5383
0.103333,79.4298
0.106667,72.6814
0.110000,66.5660
0.113333,60.5481
0.116667,54.7110
0.120000,49.8324
0.123333,46.5074
0.126667,46.1250
0.130000,48.7559
0.133333,51.4811
0.136667,53.2091
0.140000,52.6555
0.143333,48.9015
0.146667,44.9298
0.150000,42.3969
0.153333,39.1842
0.156667,36.9899
0.160000,36.5088
0.163333,35.1740
0.166667,32.6974
0.170000,30.5154
0.173333,28.0351
0.176667,25.9394
0.180000,25.9110
0.183333,27.5261
0.186667,30.6122
0.190000,34.4167
0.193333,37.7461
0.196667,40.8199
0.200000,43.2821
0.203333,44.1886
0.206667,45.9763
0.210000,49.9406
0.213333,55.1597
0.216667,60.4912
0.220000,63.4065
0.223333,61.6051
0.226667,58.5771
0.230000,58.6702
0.233333,61.1655
0.236667,62.9696
0.240000,62.7018
0.243333,60.0883
0.246667,55.7467
0.250000,51.9090
0.253333,51.1667
0.256667,54.1674
0.260000,57.3695
0.263333,56.6488
0.266667,52.9649
0.270000,50.2080
0.273333,47.6187
0.276667,42.2386
0.280000,35.3647
0.283333,29.5987
0.286667,24.4477
0.290000,19.5307
0.293333,14.4977
0.296667,9.9845
0.300000,7.1255
0.303333,5.5929
0.306667,4.5577
0.310000,3.4123
0.313333,3.0439
0.316667,3.2708
0.320000,4.0222
0.323333,5.1048
0.326667,6.1799
0.330000,7.4328
0.333333,8.0166
0.336667,6.9650
0.340000,5.2677
0.343333,3.7917
0.346667,2.7211
0.350000,2.4759
0.353333,2.6053
0.356667,3.5566
0.360000,4.6136
0.363333,5.1204
0.366667,5.6818
0.370000,6.4450
0.373333,6.0286
0.376667,5.4101
0.380000,4.2083
0.383333,2.4649
0.386667,0.8167
0.390000,0.0000
0.393333,0.0000
0.396667,0.0000
0.400000,0.0000
0.403333,0.0000
0.406667,0.0000
0.410000,0.0000
0.413333,0.0000
0.416667,0.0000
0.420000,0.0000
0.423333,0.0000
0.426667,0.0000
0.430000,0.1009
0.433333,0.8889
0.436667,2.2308
0.440000,2.3481
0.443333,0.5833
0.446667,0.0000
0.450000,0.0000
0.453333,0.0000
0.456667,0.0000
0.460000,0.0000
0.463333,0.0000
0.466667,0.0000
0.470000,0.0000
0.473333,0.0000
0.476667,0.0000
0.480000,0.0000
0.483333,0.0000
0.486667,0.0000
0.490000,0.0000
0.493333,0.0000
0.496667,0.0000
0.500000,0.0000
0.503333,0.0000
0.506667,0.0000
