Distance_(inches),Gray_Value
0.000000,16.3333
0.003333,22.9636
0.006667,30.5455
0.010000,39.4121
0.013333,47.2788
0.016667,50.9091
0.020000,52.0424
0.023333,52.1636
0.026667,52.5273
0.030000,53.2121
0.033333,51.6061
0.036667,49.0000
0.040000,48.1455
0.043333,47.6848
0.046667,47.4848
0.050000,51.4242
0.053333,55.1697
0.056667,55.0485
0.060000,55.3212
0.063333,55.8182
0.066667,54.9697
0.070000,53.5091
0.073333,50.8000
0.076667,50.8303
0.080000,55.5455
0.083333,60.8485
0.086667,62.7939
0.090000,64.3879
0.093333,63.5879
0.096667,59.1515
0.100000,55.5152
0.103333,52.2061
0.106667,47.9455
0.110000,44.4000
0.113333,40.5697
0.116667,37.4545
0.120000,37.3879
0.123333,40.3576
0.126667,43.9212
0.130000,47.7212
0.133333,51.7576
0.136667,53.5212
0.140000,53.7879
0.143333,54.0000
0.146667,54.3333
0.150000,54.6970
0.153333,54.8848
0.156667,52.9576
0.160000,52.7515
0.163333,54.3333
0.166667,53.0000
0.170000,51.3333
0.173333,50.6667
0.176667,50.0000
0.180000,50.6788
0.183333,51.0000
0.186667,49.6545
0.190000,48.3818
0.193333,48.4788
0.196667,50.1030
0.200000,53.6061
0.203333,56.3939
0.206667,55.9273
0.210000,54.8182
0.213333,50.9939
0.216667,44.9091
0.220000,40.4000
0.223333,36.0606
0.226667,32.6121
0.230000,28.3515
0.233333,23.2424
0.236667,18.4424
0.240000,13.7455
0.243333,10.5636
0.246667,8.2061
0.250000,6.9394
0.253333,6.4909
0.256667,5.6000
0.260000,4.8303
0.263333,3.7939
0.266667,3.0606
0.270000,2.0545
0.273333,1.6727
0.276667,1.6727
0.280000,2.0182
0.283333,2.0303
0.286667,1.7091
0.290000,1.6667
0.293333,1.6667
0.296667,1.5879
0.300000,1.6667
0.303333,1.6667
0.306667,1.4485
0.310000,0.9212
0.313333,0.9455
0.316667,1.4848
0.320000,1.9939
0.323333,2.7030
0.326667,2.7515
0.330000,2.4667
0.333333,1.7576
0.336667,1.3333
0.340000,1.1394
0.343333,1.1636
0.346667,1.5939
0.350000,2.0000
0.353333,2.0000
0.356667,2.0000
0.360000,2.0000
0.363333,2.3333
0.366667,3.3333
0.370000,3.6545
0.373333,3.9758
0.376667,2.9273
0.380000,1.6667
0.383333,1.2121
0.386667,0.5939
0.390000,0.5818
0.393333,0.5697
0.396667,0.5576
0.400000,0.5455
0.403333,0.5333
0.406667,0.5212
0.410000,0.3333
0.413333,0.1636
0.416667,0.3333
0.420000,0.4727
0.423333,1.0485
0.426667,1.5636
0.430000,2.1030
0.433333,2.5152
0.436667,2.0788
0.440000,1.6667
0.443333,1.3879
0.446667,1.6667
0.450000,2.0303
0.453333,2.3333
0.456667,3.0000
0.460000,3.0000
0.463333,2.3333
0.466667,2.0000
0.470000,1.3758
0.473333,1.3333
0.476667,1.3333
0.480000,1.3333
0.483333,1.3333
0.486667,1.3333
0.490000,1.3333
0.493333,0.6667
0.496667,0.5273
0.500000,0.3333
0.503333,0.3333
0.506667,0.4909
0.510000,0.9576
0.513333,1.8000
0.516667,1.9091
0.520000,2.1091
0.523333,2.3333
0.526667,2.8303
0.530000,2.7818
0.533333,2.8182
0.536667,2.2364
0.540000,1.9636
0.543333,2.0000
0.546667,2.3576
0.550000,3.0000
