"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"bin_8798",1567.72503600593,0.515412023831625,0.0804136499167179,2.60216477845476e-11,7.67014090097325e-07
"bin_9510",1016.4609673499,-0.491092756991763,0.0790269236152386,9.59506236479705e-11,1.41412029132379e-06
"bin_10625",1327.89684295245,0.423768661395267,0.0685017165124012,1.52130362790674e-10,1.4947315245393e-06
"bin_10551",1465.22302013209,0.415168975031748,0.0701798869372986,8.4570911748368e-10,5.64867974789712e-06
"bin_24793",1553.31684282746,0.639158421344155,0.110638924481364,9.58182885720099e-10,5.64867974789712e-06
"bin_15815",958.833993261347,-0.456048526143702,0.0785788229131959,1.39781791478094e-09,6.86701347601383e-06
"bin_15818",891.655773288718,-0.497819471222795,0.0875826528127355,2.40384252396186e-09,1.01222374623285e-05
"bin_15809",1394.21731260237,-0.478725941945003,0.0847517816973611,3.23006325861503e-09,1.19011680763671e-05
"bin_25398",927.930357748083,-0.477645610872869,0.0881525818932652,1.18428528034073e-08,3.76386256021178e-05
"bin_25396",900.920634475992,-0.504529705461808,0.0936661056356394,1.27692446743513e-08,3.76386256021178e-05
"bin_30112",959.578111545601,0.452690582453287,0.0840853297113962,1.59627737575976e-08,4.27744290253587e-05
"bin_24875",784.779794155053,-0.620174311908987,0.117961291270445,1.83035097817852e-08,4.49595211939918e-05
"bin_165",1181.15866718166,-0.409947326900734,0.0781049888729415,3.87590966801381e-08,8.56697373205564e-05
"bin_14772",1023.83453450716,-0.403027707736621,0.0769311256384535,4.09144917202255e-08,8.56697373205564e-05
"bin_55",1561.34347499406,0.446283599535473,0.0857708765618975,4.35963516015859e-08,8.56697373205564e-05
"bin_15807",1409.55414914131,-0.409908275320307,0.07996150309565,7.55953170354552e-08,0.000123915139951162
"bin_24706",631.362036644842,-0.753327318120329,0.152877381838614,7.8927871813663e-08,0.000123915139951162
"bin_15819",842.022945858671,-0.50920269868454,0.100891512248106,7.90686936850212e-08,0.000123915139951162
"bin_23479",746.228621653219,-0.539391130965645,0.10730716974767,7.98747339894178e-08,0.000123915139951162
"bin_25916",830.504328470317,-0.517653296172124,0.103491607843479,9.59942721614414e-08,0.000141476358311532
"bin_14660",1099.81412055978,-0.390783790564629,0.0774142743801001,1.22976310710192e-07,0.00016827114054947
"bin_6844",1390.80589378244,0.38546144045726,0.0763157768363688,1.25876762809841e-07,0.00016827114054947
"bin_11350",726.920360277294,-0.576670940611389,0.117756848063277,1.37082714694996e-07,0.00016827114054947
"bin_25384",911.046053914198,-0.443263450899261,0.0890242754789238,1.42281887238556e-07,0.00016827114054947
"bin_10550",1576.73444954087,0.444342565540666,0.0892101835736861,1.42718771669723e-07,0.00016827114054947
"bin_15813",1020.96556197151,-0.41802163855911,0.084364908953524,1.77966149258799e-07,0.000194742589950585
"bin_8720",1277.74215190396,0.368778860371035,0.0737946295757857,1.78384106685636e-07,0.000194742589950585
"bin_14822",993.692847393178,-0.419167803671716,0.0860569064967452,2.67288952171344e-07,0.000281378898364377
"bin_9503",882.024489455738,-0.391938642808302,0.0803433816663537,2.93700469536731e-07,0.000298521208278092
"bin_7985",1492.76059034308,0.36748567667513,0.0752686958451435,3.24838969944373e-07,0.00030960848037217
"bin_25913",771.763633370016,-0.548911858609019,0.115961438079251,3.32999049393289e-07,0.00030960848037217
