"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"bin_7380",561.104893694775,-0.859590993959868,0.155458251192613,2.11317978645127e-09,6.229865328437e-05
"bin_23768",610.815494922946,-0.646947460410144,0.122551832158579,1.06727693896311e-08,0.00012993875349223
"bin_26563",313.531253412151,-0.897600190195961,0.173483352860014,1.43169922230193e-08,0.00012993875349223
"bin_11404",606.74367206554,-0.636608949292057,0.122671606586343,1.76301690569831e-08,0.00012993875349223
"bin_20459",533.82779959295,-0.984408513696492,0.196548704868265,3.17542114362099e-08,0.000187229181470181
"bin_26999",525.448915694911,-0.890971609560526,0.18020449093425,4.75244027765469e-08,0.0002085103316009
"bin_26732",414.611593172398,-1.05913583799052,0.21573929928663,4.95089149352566e-08,0.0002085103316009
"bin_25228",553.010368757637,-0.761924708824191,0.154618150946849,5.7208773191246e-08,0.000210821480306391
"bin_13344",467.519183139786,-1.12862377791969,0.2336571360023,7.20376080381498e-08,0.000212971034186445
"bin_14207",540.817102219217,-0.889458033724052,0.183003776983521,7.22400984316831e-08,0.000212971034186445
"bin_25095",504.140210965151,-0.899002504910259,0.187414041627475,9.85755640086318e-08,0.000264191472958043
"bin_4568",610.129549545783,-0.766288686702382,0.160438637875151,1.24810082112539e-07,0.000306627169229979
"bin_26894",479.911517291908,-0.975873237522255,0.207941652610123,1.52214941737031e-07,0.00034518836133457
"bin_22850",528.499928522366,-0.884323233478017,0.188841784857756,1.73989393957567e-07,0.00036535583634293
"bin_22939",641.816514337778,-0.679374301662735,0.144302089205651,1.95314459463072e-07,0.00036535583634293
"bin_18729",501.959404113419,-0.964592063750869,0.207797105144491,1.98286807824934e-07,0.00036535583634293
"bin_613",629.824506421313,-0.530880756097391,0.111610769299501,2.14230914193644e-07,0.000371514210667225
"bin_25368",543.064383722612,-1.19260332197991,0.260633192392295,2.38840555807316e-07,0.000384172676301767
"bin_20528",609.955424893735,-0.799013924082989,0.172952148254252,2.47592715638329e-07,0.000384172676301767
"bin_24312",803.750276730675,-0.736445136068614,0.160821725728855,3.32878424150558e-07,0.000490679441119129
"bin_21080",638.147041840003,-0.69504269178163,0.152443530116097,3.9064401021991e-07,0.000547201584745463
"bin_28426",520.789611420403,-0.926136950449874,0.206530781510471,4.27464948907372e-07,0.000547201584745463
"bin_29999",334.312189173364,-0.619439278449473,0.1359165061134,4.50622646330557e-07,0.000547201584745463
"bin_16703",409.004210137602,-1.10553663301585,0.248637837126489,4.5389060534753e-07,0.000547201584745463
"bin_18",521.678840350249,-0.879631127422894,0.196702570219721,4.70629545809895e-07,0.000547201584745463
"bin_25354",431.317668572502,-1.1537663911871,0.261058914506794,5.0085777866022e-07,0.000547201584745463
"bin_18744",425.354647905452,-1.1143089813706,0.252209025689017,5.13303673303301e-07,0.000547201584745463
"bin_3097",614.564452313923,-0.65247581651963,0.145060764335873,5.53469594334347e-07,0.000547201584745463
"bin_20559",553.064831658827,-0.848515925479734,0.19113787656371,5.62102998778905e-07,0.000547201584745463
"bin_1538",478.487352152256,-0.949693845156543,0.215129640500842,5.7376141124945e-07,0.000547201584745463
"bin_7742",568.365086732649,-0.868256441124328,0.196002988088381,5.75395988165577e-07,0.000547201584745463
"bin_23727",562.470903834092,-0.81567661691802,0.184674386424845,6.39517187271002e-07,0.000588490513287503
"bin_29730",322.10628359563,-0.558240696069477,0.123982083400009,6.68590167943603e-07,0.000588490513287503
"bin_3219",543.320128974263,-0.711424633236183,0.160594363288763,6.81302760861885e-07,0.000588490513287503
"bin_28714",556.789249049301,-0.705335505931708,0.159229992171626,6.98659067367545e-07,0.000588490513287503
"bin_25344",474.791916803245,-1.01273567898863,0.232665717357009,7.31901536107906e-07,0.000599366366277699
"bin_17465",479.054058504783,-0.93341788521577,0.214355216852363,7.61742458708322e-07,0.000606944038518379
"bin_26654",438.324852507108,-0.995191909821532,0.229561949636024,8.01252266330627e-07,0.000621624159570874
"bin_24206",574.15414905587,-0.853928880936903,0.196201037375414,8.27240078360636e-07,0.000625329865388459
"bin_9454",618.158556892412,-0.705389745220132,0.161860626072413,9.5510028266286e-07,0.000703932785829594
"bin_23661",781.373464956587,-0.744133748235071,0.171520616414092,9.96039736991727e-07,0.000716201158201295
"bin_10952",674.481638789007,-0.592446310588424,0.135124473249701,1.04336030008838e-06,0.000732364404926321
"bin_8776",541.248079709859,-0.660761962511362,0.152208068114611,1.11062146591594e-06,0.000747226042141349
"bin_407",571.448479952257,-0.707510062748613,0.164766188895488,1.13680416172402e-06,0.000747226042141349
"bin_9453",548.087515214043,-0.920412639387971,0.215935656164257,1.16586328622196e-06,0.000747226042141349
"bin_10432",666.554893356445,-0.541607712077656,0.123611815839468,1.16591696138198e-06,0.000747226042141349
"bin_17438",525.0160417212,-0.85591832852673,0.200786099689891,1.22377571232226e-06,0.000767619824999415
"bin_25510",550.292038665176,-0.87057591484233,0.20530427618071,1.34021210924872e-06,0.000812196187284746
"bin_29178",806.217393612827,0.337836144700443,0.0746462903181392,1.3499410866983e-06,0.000812196187284746
"bin_27323",544.308374999585,-0.824319131777954,0.194391780987803,1.39596178667632e-06,0.000823086988660094
"bin_16735",423.559594046763,-0.844850568599459,0.199858201819845,1.44838619496865e-06,0.000837252419879821
"bin_25283",523.684389424597,-0.773692116899878,0.183457432177253,1.62595131185201e-06,0.000921820588936714
"bin_20562",510.195772738923,-0.909535957298552,0.217604586491768,1.67327605444713e-06,0.000930751912474636
"bin_16504",431.321153028322,-1.00527886763633,0.241967217880535,1.74394593409455e-06,0.000940952457770686
"bin_16130",580.504223276494,-0.805451452243547,0.192168042566106,1.76562320052308e-06,0.000940952457770686
"bin_15749",564.255824711931,-0.741473681369517,0.176487017760898,1.80643673601391e-06,0.000940952457770686
"bin_17762",740.825530521378,-1.03017972756774,0.248803030481971,1.81928327034121e-06,0.000940952457770686
"bin_2101",1444.96299315096,0.256970228801398,0.056517744453745,1.94855766643876e-06,0.000986097907158562
"bin_26971",535.593200497118,-0.716769798591165,0.171105258978604,1.9980643504938e-06,0.000986097907158562
"bin_2194",1650.7895779835,0.297189072891892,0.0662138978902862,2.00691545163033e-06,0.000986097907158562
"bin_6127",557.242359874367,-0.695768057279383,0.16619098668953,2.14591921609222e-06,0.00101056822389512
"bin_12208",1808.32597102865,0.30317100910776,0.0678542548536132,2.15344126185009e-06,0.00101056822389512
"bin_30295",211.819726776904,-0.848686349742283,0.205345132735063,2.17869786892098e-06,0.00101056822389512
"bin_1611",534.433180505071,-0.87227705185283,0.211500529997519,2.19706975471423e-06,0.00101056822389512
"bin_26958",545.474963588605,-0.832007693716236,0.201451827971965,2.22811080198036e-06,0.00101056822389512
"bin_285",531.897319552479,-0.855574259780917,0.20797257162539,2.33316112178705e-06,0.00102741026562403
"bin_13328",555.03962143173,-0.723266562181096,0.174365695999706,2.33494412661749e-06,0.00102741026562403
"bin_27017",477.432179357889,-0.808356257817622,0.196242109946543,2.39726576006844e-06,0.00103261308512528
"bin_13348",435.585001127508,-1.04242366850789,0.255988087693487,2.41682110083254e-06,0.00103261308512528
"bin_25924",787.855573993861,-0.405763419213645,0.0938834017246205,2.48568810929255e-06,0.00104686530214362
"bin_15702",643.694050442065,-0.661401664374621,0.160165955359558,2.74443843494023e-06,0.00113786692228534
"bin_11044",460.949703624534,-0.997132131036932,0.246480969352487,2.77895656200755e-06,0.00113786692228534
"bin_16586",517.688918200889,-0.696564375778922,0.169450549927988,2.86264496509706e-06,0.00115607720843872
"bin_18745",531.21380308522,-0.863946971201576,0.213307090547538,2.95678245979733e-06,0.00117795815807142
"bin_24156",453.551577469119,-1.03347201710461,0.257124755582719,3.02167710373488e-06,0.00118776083593611
"bin_29007",262.884549418088,-0.879034060312987,0.217866098181476,3.19815621438245e-06,0.00123622019959291
"bin_25413",652.110852978062,-0.814899503419868,0.201413726308159,3.22882383123552e-06,0.00123622019959291
"bin_24686",489.773140087678,-1.00854272959024,0.252019500537538,3.30363568964363e-06,0.00124864722777415
"bin_24586",460.993511373751,-0.990615343732052,0.248325920511323,3.52597797736123e-06,0.00129992101316695
"bin_17457",502.220075498108,-0.937761794537371,0.234688296859146,3.56317247925049e-06,0.00129992101316695
"bin_22659",513.058054052454,-0.960910950398795,0.240824392089927,3.57157498275238e-06,0.00129992101316695
"bin_18554",456.895134661177,-0.996045324881711,0.250363935825908,3.66502514452155e-06,0.00131766593031268
"bin_26963",490.465958587561,-0.958168989847037,0.24093756291929,3.72489646421449e-06,0.0013230562971266
"bin_18732",434.356016372548,-1.02981037556809,0.259835331020718,3.860438991029e-06,0.00134184949546633
"bin_165",1253.71526470164,-0.423647781864544,0.10076188338645,3.86883779772185e-06,0.00134184949546633
"bin_26208",608.116843413561,-0.779974232776931,0.194581750509425,3.93126678913589e-06,0.00134764739779669
"bin_27610",503.481823678231,-0.994008845822414,0.251105555346771,3.98238555094841e-06,0.00134947940721276
"bin_19919",453.954009361603,-1.13753672769279,0.289142356343128,4.04596664592502e-06,0.00135544480327859
"bin_27659",732.731892078944,-0.437097109140597,0.104999529789593,4.40783509044487e-06,0.00146008299215062
"bin_7303",471.57200288587,-0.89055012949112,0.225642969502224,4.51847252542934e-06,0.00147782288996532
"bin_24684",530.975485510474,-0.841018598801317,0.212613392420079,4.56164590708742e-06,0.00147782288996532
"bin_15764",1767.58270633421,0.251083164784969,0.0575176263831206,4.68969949883955e-06,0.00150279381440531
"bin_25515",503.512247827251,-0.864638837596557,0.219766401828167,4.88454294334948e-06,0.00151613119432635
"bin_8021",529.165555758284,-0.898923732936095,0.22915409154091,4.89611375810585e-06,0.00151613119432635
"bin_1552",504.309848444209,-0.875925112085796,0.222935780401853,4.92182707017465e-06,0.00151613119432635
"bin_24710",731.030112110442,-0.554341159446296,0.137063276658187,4.95482483200123e-06,0.00151613119432635
"bin_1506",574.61907840437,-0.837368483675854,0.212852798904676,5.00565115447097e-06,0.00151613119432635
"bin_28683",424.360406196446,-0.959716762334237,0.245714496581481,5.0398852496178e-06,0.00151613119432635
"bin_25551",488.37660262745,-1.04746184110477,0.269713644807267,5.21057922239437e-06,0.00153894993026283
"bin_28488",469.637105099131,-0.944788094688061,0.242645952121074,5.32575084215406e-06,0.00153894993026283
"bin_254",558.885462735633,-0.827875156361483,0.211193834120732,5.34875645533514e-06,0.00153894993026283
"bin_1863",514.399015115957,-0.82333505646783,0.209974678043386,5.36144199059127e-06,0.00153894993026283
"bin_18540",477.788098680766,-0.906981756235927,0.232641539606583,5.41417370875406e-06,0.00153894993026283
"bin_26911",511.214600530641,-0.840493058273108,0.214908780051214,5.47252328403088e-06,0.00153894993026283
"bin_1835",521.192513696203,-0.845321351633315,0.216308917601153,5.51171124628461e-06,0.00153894993026283
"bin_22264",526.212239683793,-0.924350608003912,0.237644381945588,5.54189532995152e-06,0.00153894993026283
"bin_13374",583.809993824646,-0.840048810231364,0.215119142816571,5.6198260597896e-06,0.00153894993026283
"bin_209",567.665738040033,-0.777617335677329,0.198333885825333,5.63775287366051e-06,0.00153894993026283
"bin_30325",150.389107120416,-0.7302059777621,0.185336839697326,5.71740437735861e-06,0.00154637429769641
"bin_13653",571.735590254651,-0.664363582933174,0.168683079774015,5.83996354070013e-06,0.00155504175857611
"bin_3543",541.615579592029,-0.741373091983467,0.188971394504999,5.85494505620393e-06,0.00155504175857611
"bin_24927",520.32489771821,-0.827575202029715,0.212871430842136,6.02117080746614e-06,0.00156761639354468
