Geneid	control_1	control_2	SRRM2depl_1	SRRM2depl_2	SONdepl_1	SONdepl_2	doubledepl_1	doubledepl_2
ENSG00000223972.5	1	1	0	1	1	3	3	4
ENSG00000227232.5	149	103	86	88	91	53	73	73
ENSG00000278267.1	0	0	0	0	0	0	0	0
ENSG00000243485.5	0	2	2	2	2	0	1	2
ENSG00000284332.1	0	0	0	0	0	0	0	0
ENSG00000237613.2	0	0	0	0	0	0	0	0
ENSG00000268020.3	0	0	0	0	0	0	0	0
ENSG00000240361.2	2	2	0	0	4	0	0	0
ENSG00000186092.6	0	0	0	0	2	0	0	0
ENSG00000238009.6	127	130	117	120	111	74	89	101
ENSG00000239945.1	0	0	0	0	0	0	0	0
ENSG00000233750.3	1	0	15	12	7	10	10	5
ENSG00000268903.1	3	4	2	2	1	2	1	0
ENSG00000269981.1	3	7	8	8	7	5	10	0
ENSG00000239906.1	0	1	0	2	0	0	2	0
ENSG00000241860.6	19	21	28	41	28	16	20	29
ENSG00000222623.1	0	0	0	0	0	0	0	0
ENSG00000241599.1	0	0	0	0	0	0	0	0
ENSG00000279928.2	8	9	8	23	21	18	15	16
ENSG00000279457.4	248	231	185	278	282	202	209	212
ENSG00000273874.1	0	0	0	0	0	0	0	0
ENSG00000228463.10	37	26	29	48	29	24	52	57
ENSG00000236679.2	0	0	0	0	0	0	0	0
ENSG00000236601.2	0	0	0	0	0	0	0	0
ENSG00000237094.12	115	127	77	106	78	74	104	68
ENSG00000269732.1	0	0	0	0	0	0	0	0
ENSG00000284733.1	0	0	0	0	0	0	0	0
ENSG00000233653.3	0	0	0	0	0	0	0	0
ENSG00000250575.1	0	0	0	0	0	0	0	0
ENSG00000278757.1	0	0	0	0	0	0	0	0
ENSG00000230021.10	306	271	258	328	216	222	227	197
ENSG00000235146.2	0	0	0	0	0	0	0	0
ENSG00000225972.1	0	0	0	0	0	0	0	0
ENSG00000225630.1	0	0	0	0	0	0	0	0
ENSG00000237973.1	0	0	0	0	0	0	0	0
ENSG00000278791.1	0	0	0	0	0	0	0	0
ENSG00000229344.1	0	0	0	0	0	0	0	0
ENSG00000240409.1	0	0	0	0	0	0	0	0
ENSG00000248527.1	0	0	0	0	0	0	0	0
ENSG00000198744.5	0	0	0	0	0	0	0	0
ENSG00000268663.1	0	0	0	0	0	0	0	0
ENSG00000284662.1	0	0	0	0	0	0	0	0
ENSG00000229376.3	0	0	0	0	0	0	0	0
ENSG00000228327.3	0	0	0	0	0	0	0	0
ENSG00000223181.1	0	0	0	0	0	0	0	0
ENSG00000229905.1	0	0	0	0	0	0	0	0
ENSG00000237491.8	0	0	0	0	0	0	0	0
ENSG00000285268.1	0	0	0	0	0	0	0	0
ENSG00000230092.7	0	0	0	0	0	0	0	0
ENSG00000177757.2	0	0	0	0	0	0	0	0
ENSG00000228794.8	831	650	647	903	714	510	634	588
ENSG00000225880.5	0	0	0	0	0	0	0	0
ENSG00000230368.2	2	2	2	2	2	2	0	0
ENSG00000234711.1	0	0	0	0	0	0	0	0
ENSG00000283040.1	0	0	0	0	0	0	0	0
ENSG00000272438.1	36	38	51	33	62	18	50	44
ENSG00000230699.2	0	0	0	0	0	0	0	0
ENSG00000241180.1	0	0	0	0	0	0	0	0
ENSG00000223764.2	23	22	7	22	36	8	33	24
ENSG00000187634.11	33	33	23	39	49	26	41	37
ENSG00000188976.10	714	614	486	851	675	376	628	575
ENSG00000187961.13	69	91	68	79	149	70	64	63
ENSG00000187583.10	120	81	57	109	164	149	220	175
ENSG00000187642.9	26	8	18	22	64	46	67	86
ENSG00000272512.1	48	46	30	47	51	32	46	47
ENSG00000188290.10	17	22	18	39	19	15	11	24
ENSG00000187608.9	539	588	166	255	318	208	237	190
ENSG00000231702.2	0	0	0	0	0	0	0	0
ENSG00000224969.1	0	0	0	0	0	0	0	0
ENSG00000188157.14	690	611	396	701	507	367	409	394
ENSG00000242590.1	0	0	0	0	0	0	0	0
ENSG00000217801.9	112	108	64	75	66	33	56	42
ENSG00000273443.1	0	0	0	0	0	0	0	0
ENSG00000237330.2	18	23	29	38	24	13	28	16
ENSG00000131591.17	417	377	329	426	470	276	386	344
ENSG00000285812.1	0	0	0	0	0	0	0	0
ENSG00000223823.1	0	0	0	0	0	0	0	0
ENSG00000207730.3	1	7	0	2	2	1	0	0
ENSG00000207607.3	0	2	2	5	0	0	0	1
ENSG00000198976.1	4	2	1	0	0	1	4	1
ENSG00000272141.1	18	22	6	8	7	5	14	7
ENSG00000205231.1	0	0	0	0	6	0	0	0
ENSG00000162571.13	138	88	146	202	306	212	312	252
ENSG00000186891.13	24	22	4	28	18	10	16	28
ENSG00000186827.10	4	1	4	5	13	8	18	6
ENSG00000078808.16	549	401	407	601	556	363	393	481
ENSG00000176022.5	149	134	132	187	172	106	166	194
ENSG00000184163.3	6	6	6	5	22	9	9	18
ENSG00000260179.1	21	15	10	29	18	16	32	30
ENSG00000160087.20	836	799	660	918	875	588	679	620
ENSG00000230415.1	6	19	8	18	16	6	10	6
ENSG00000162572.20	13	22	14	41	21	12	21	24
ENSG00000131584.18	61	72	66	95	122	58	58	58
ENSG00000278073.1	0	0	0	0	0	0	0	0
ENSG00000169972.11	34	33	27	47	82	20	39	66
ENSG00000127054.20	340	344	290	436	396	201	355	331
ENSG00000283712.1	0	0	0	0	0	0	0	0
ENSG00000240731.1	0	0	0	0	0	0	0	0
ENSG00000224051.6	42	53	27	58	59	26	99	117
ENSG00000169962.4	51	44	44	79	52	54	93	85
ENSG00000107404.19	312	322	246	434	366	233	376	269
ENSG00000284372.1	0	0	0	0	0	0	0	0
ENSG00000162576.16	60	53	22	59	34	23	39	20
ENSG00000175756.13	59	70	33	64	55	21	40	44
ENSG00000223663.2	10	4	3	2	0	5	4	1
ENSG00000221978.11	1141	928	878	1298	1221	723	850	821
ENSG00000224870.6	152	138	96	207	161	91	98	138
ENSG00000242485.5	381	428	455	685	638	334	498	435
ENSG00000264293.2	0	0	0	0	0	0	0	0
ENSG00000272455.1	224	89	91	176	144	78	126	111
ENSG00000235098.8	0	2	3	4	6	0	12	0
ENSG00000225905.1	0	0	0	1	1	0	4	0
ENSG00000205116.3	0	0	2	0	0	0	0	0
ENSG00000225285.1	20	11	10	14	12	2	1	4
ENSG00000179403.11	101	100	38	74	57	25	45	36
ENSG00000215915.9	24	11	12	12	29	18	37	43
ENSG00000160072.19	869	777	669	920	898	675	975	746
ENSG00000284740.1	18	19	22	36	69	33	96	72
ENSG00000197785.13	412	408	267	388	354	278	402	278
ENSG00000205090.8	12	6	14	16	12	6	18	22
ENSG00000160075.11	2114	1904	1575	2270	2119	1531	1717	1612
ENSG00000215014.5	44	21	28	36	44	20	20	24
ENSG00000274481.1	0	0	0	0	0	0	0	0
ENSG00000228594.3	12	8	2	2	12	6	6	8
ENSG00000272106.1	40	27	28	23	29	27	26	27
ENSG00000197530.12	111	128	114	181	183	86	117	106
ENSG00000189409.13	4	0	0	0	0	2	0	0
ENSG00000248333.8	1094	880	851	1173	965	635	834	752
ENSG00000272004.1	13	4	3	14	11	3	4	4
ENSG00000189339.11	718	755	519	884	702	447	561	498
ENSG00000269737.2	0	0	0	0	0	0	0	0
ENSG00000215914.4	0	0	0	0	0	0	0	0
ENSG00000008128.22	0	0	0	0	4	0	0	0
ENSG00000268575.1	0	1	0	1	0	0	0	0
ENSG00000227775.3	0	0	0	0	0	0	0	0
ENSG00000215790.7	109	105	63	121	90	80	58	48
ENSG00000008130.15	1143	1003	975	1341	1034	891	1150	994
ENSG00000078369.17	12904	10471	9955	14555	11998	8789	11358	10675
ENSG00000231050.1	6	10	5	5	2	0	2	3
ENSG00000169885.9	8	5	8	8	16	5	10	10
ENSG00000178821.12	5	11	10	14	20	12	14	4
ENSG00000142609.18	162	148	122	210	92	80	92	67
ENSG00000233542.1	0	0	2	4	0	0	2	0
ENSG00000187730.8	40	36	26	41	28	20	24	31
ENSG00000226969.1	0	0	0	0	0	2	0	0
ENSG00000067606.16	2426	2050	1635	2436	1630	1239	1379	1204
ENSG00000271806.1	0	0	0	0	0	0	0	0
ENSG00000182873.5	0	0	0	0	0	0	0	0
ENSG00000162585.16	196	228	166	264	208	140	151	189
ENSG00000234396.3	12	8	2	8	14	14	6	2
ENSG00000157933.9	3692	3447	2463	3811	2899	2362	2992	2578
ENSG00000116151.13	829	744	517	825	486	272	368	320
ENSG00000272161.1	0	0	0	0	0	0	0	0
ENSG00000269896.2	0	0	0	0	0	0	0	0
ENSG00000272420.1	0	0	0	0	0	0	0	0
ENSG00000157916.19	742	734	575	859	779	463	585	638
ENSG00000157911.10	220	186	140	241	246	126	168	183
ENSG00000149527.17	29	26	19	21	34	30	43	21
ENSG00000224387.1	0	0	0	0	0	0	0	0
ENSG00000229393.1	0	0	0	0	0	0	0	0
ENSG00000157881.13	449	405	376	559	439	282	446	442
ENSG00000197921.5	0	0	0	0	0	0	0	0
ENSG00000272449.2	10	8	2	8	11	6	7	6
ENSG00000238164.6	1	2	0	0	0	0	0	0
ENSG00000157873.17	0	0	0	0	0	0	0	0
ENSG00000225931.3	0	0	0	0	0	0	0	0
ENSG00000228037.1	22	20	10	31	12	4	6	11
ENSG00000157870.15	12	11	6	22	24	6	14	0
ENSG00000142606.15	4	14	4	4	10	3	2	3
ENSG00000237058.1	8	3	3	7	4	0	2	5
ENSG00000215912.12	73	82	90	95	81	64	91	78
ENSG00000285945.1	0	0	0	0	0	0	0	0
ENSG00000283259.1	0	0	0	0	0	0	0	0
ENSG00000233234.1	0	0	0	0	0	0	0	0
ENSG00000231630.1	0	0	0	0	0	0	0	0
ENSG00000284745.1	0	0	0	0	0	0	0	0
ENSG00000169717.6	0	0	0	0	0	0	0	0
ENSG00000177133.10	29	5	9	19	8	14	10	10
ENSG00000142611.16	5337	4278	4209	6001	4752	3633	4769	4668
ENSG00000283572.1	0	0	0	0	0	0	0	0
ENSG00000226286.1	0	0	0	0	0	0	0	0
ENSG00000279839.1	0	0	0	0	0	0	0	0
ENSG00000272235.1	0	0	0	0	0	0	0	0
ENSG00000130762.14	240	194	154	318	217	129	241	162
ENSG00000272088.1	14	15	17	27	33	34	24	24
ENSG00000162591.15	1894	1932	1849	3182	2060	1390	2382	2174
ENSG00000207776.1	0	0	0	0	0	0	0	0
ENSG00000238260.1	0	8	8	0	2	0	2	2
ENSG00000158109.14	102	110	110	134	157	80	72	77
