"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSG00000227232.5",105.83250725553,-0.0752577501695987,0.145867724691114,0.111160650650589,0.43194172665804
"ENSG00000238009.6",124.083694424192,-0.0177322852675331,0.116678828738948,0.681080972098964,0.901369159901666
"ENSG00000233750.3",7.14008714579215,0.0286873839052504,0.128862231255954,0.00785978639683765,NA
"ENSG00000268903.1",2.78893592153355,-0.00368439237483895,0.123944761494091,0.651544530982204,NA
"ENSG00000269981.1",6.6320504211603,0.00623111208903855,0.123764413124532,0.611042620999662,NA
"ENSG00000241860.6",26.8797393761315,0.0295214476684424,0.126776103872735,0.230219520096143,NA
"ENSG00000279928.2",11.440501041955,0.0126243170616644,0.124059941671351,0.429395102482081,NA
"ENSG00000279457.4",232.294550126577,-0.0232351579066627,0.110106694047436,0.674968909312337,0.899656486524839
"ENSG00000228463.10",34.0914005034925,0.0127413975402888,0.121922494828211,0.640933705403627,NA
"ENSG00000237094.12",105.847814119696,-0.0637586552395534,0.136760916611367,0.166174591474863,0.522241267523189
"ENSG00000230021.10",288.376208242023,-0.000275803241529352,0.105257416578926,0.997554645554815,0.999188577974801
"ENSG00000228794.8",746.181866688743,0.0192280118190597,0.091182014887164,0.75794920052096,0.93215702289697
"ENSG00000272438.1",40.5282714628639,0.0108614237476578,0.121717923909242,0.687957602855782,NA
"ENSG00000223764.2",17.9255244453256,-0.0187295097222584,0.124649801446039,0.338074957245168,NA
"ENSG00000187634.11",31.476618300328,-0.00674599730831022,0.121502788183566,0.793363800669528,NA
"ENSG00000188976.10",651.513608859051,-0.0179103325316737,0.0969344650601068,0.767748927295557,0.934892591160056
"ENSG00000187961.13",77.2157079205062,-0.0146209516470387,0.119402228161131,0.68211003052259,0.901750991862973
"ENSG00000187583.10",89.0249399163935,-0.0369530803556532,0.124123019825712,0.359584003322447,0.717722567445897
"ENSG00000187642.9",17.9796055917883,0.00670609790715317,0.122864839487799,0.730292864558078,NA
"ENSG00000272512.1",42.1901496191905,-0.0206201991557571,0.122687324435761,0.492279214809103,NA
"ENSG00000188290.10",23.3426930564059,0.0150035337231645,0.123390792324433,0.502388378009139,NA
"ENSG00000187608.9",386.393218217778,-1.42186512547783,0.200091225091049,5.86445627798357e-14,1.21469915357847e-11
"ENSG00000188157.14",587.524624920816,-0.159945591153291,0.15264114698236,0.0563032782556263,0.307920617876331
"ENSG00000217801.9",89.6436921292597,-0.0984475943721317,0.171590266323542,0.0479243449809859,0.282443523747508
"ENSG00000237330.2",26.8746882822798,0.0259290421479887,0.125651192466955,0.285104662081612,NA
"ENSG00000131591.17",384.09045479484,-0.0335086361428978,0.105115789593422,0.574649178263584,0.85234982065846
"ENSG00000207730.3",2.57484177458161,-0.00675784081666309,0.124251826982932,0.308591821708392,NA
"ENSG00000272141.1",13.5828892581096,-0.0301345640080108,0.128472638357567,0.0775690228567247,NA
"ENSG00000162571.13",140.595360262473,0.160484742359721,0.2524424004464,0.0302619247368199,0.216865869124018
"ENSG00000186891.13",18.5184900400776,-0.0152120921533882,0.124129320669307,0.407600128042883,NA
"ENSG00000186827.10",3.40099773018606,0.00468076326540637,0.123946342745005,0.60387853275848,NA
"ENSG00000078808.16",480.028274016523,0.022386286003741,0.0996429069987244,0.715215997135731,0.913819902021397
"ENSG00000176022.5",148.539335586298,0.0252655201420449,0.115364787688686,0.603394214665555,0.866438818959816
"ENSG00000184163.3",5.82280541481709,-0.00101347619627458,0.123569732613537,0.928852282594698,NA
"ENSG00000260179.1",17.8808973484309,0.000785250517065081,0.122529161603439,0.970945189119294,NA
"ENSG00000160087.20",795.383278161438,-0.0412847007650537,0.0955309257479522,0.515421346332365,0.82280297502425
"ENSG00000230415.1",12.7057460876665,-0.00141566078413609,0.123107657742201,0.926001572964272,NA
"ENSG00000162572.20",21.6751436455679,0.0145212689336383,0.123627743965394,0.48260455964459,NA
"ENSG00000131584.18",72.901783478815,0.0214357260383226,0.120579445686247,0.560759223158836,NA
"ENSG00000169972.11",34.5462827144303,0.00431878108028703,0.121085874209057,0.875812552817682,NA
"ENSG00000127054.20",348.133616597785,0.0115070229347938,0.104350313290866,0.84118373837737,0.956047902609961
"ENSG00000224051.6",44.1692459007142,-0.0146497542712242,0.121716542084065,0.612743555223334,NA
"ENSG00000169962.4",53.1015605603856,0.0238906399921256,0.122579053697165,0.471155068914243,NA
"ENSG00000107404.19",322.348966698642,0.00947898761369152,0.106665361980951,0.864645806205973,0.961611042896602
"ENSG00000162576.16",46.9858641440287,-0.0353996834097875,0.127445298455113,0.245175799251599,NA
"ENSG00000175756.13",55.729221768662,-0.0365158908723947,0.126978215767529,0.269924190815206,NA
