Distance_(inches),Gray_Value
0.000000,20.3333
0.003333,23.2410
0.006667,24.0071
0.010000,25.7788
0.013333,24.6524
0.016667,26.3866
0.020000,23.8868
0.023333,23.5321
0.026667,26.8877
0.030000,28.1041
0.033333,30.5207
0.036667,30.4566
0.040000,29.7187
0.043333,28.6400
0.046667,29.0264
0.050000,31.4122
0.053333,32.0106
0.056667,30.9916
0.060000,29.6829
0.063333,29.2122
0.066667,28.2564
0.070000,30.2345
0.073333,32.4695
0.076667,30.4798
0.080000,26.8531
0.083333,29.6410
0.086667,27.1467
0.090000,26.6951
0.093333,25.3288
0.096667,27.9051
0.100000,29.5641
0.103333,29.0657
0.106667,25.4659
0.110000,29.6946
0.113333,24.0905
0.116667,25.6746
0.120000,28.5494
0.123333,27.7613
0.126667,30.5882
0.130000,30.1333
0.133333,28.1578
0.136667,27.3340
0.140000,29.3002
0.143333,29.5876
0.146667,26.0426
0.150000,24.9132
0.153333,28.5310
0.156667,28.5979
0.160000,28.0099
0.163333,27.9282
0.166667,27.6410
0.170000,26.3399
0.173333,23.8933
0.176667,21.4396
0.180000,22.4110
0.183333,25.9329
0.186667,23.8346
0.190000,25.6462
0.193333,26.1565
0.196667,25.2484
0.200000,23.5897
0.203333,23.8041
0.206667,20.7369
0.210000,19.1769
0.213333,21.3385
0.216667,20.3333
