Distance_(inches),Gray_Value
0.000000,10.5000
0.003333,13.8937
0.006667,14.9061
0.010000,14.2599
0.013333,16.2265
0.016667,15.9143
0.020000,14.1785
0.023333,14.7665
0.026667,22.0093
0.030000,22.0185
0.033333,19.1010
0.036667,17.3345
0.040000,17.0089
0.043333,18.9444
0.046667,18.9549
0.050000,19.6795
0.053333,21.6140
0.056667,22.9013
0.060000,22.3836
0.063333,23.3140
0.066667,21.0228
0.070000,23.4487
0.073333,21.4145
0.076667,18.6673
0.080000,19.4749
0.083333,19.6645
0.086667,21.0741
0.090000,19.1753
0.093333,18.9435
0.096667,16.9100
0.100000,15.7564
0.103333,18.0354
0.106667,19.7215
0.110000,17.2345
0.113333,16.4035
0.116667,17.5863
0.120000,15.3915
0.123333,12.8096
0.126667,12.7009
0.130000,12.3750
0.133333,11.5684
0.136667,12.9208
0.140000,12.3639
0.143333,12.2201
0.146667,11.5744
0.150000,10.9450
0.153333,11.7656
0.156667,11.7607
0.160000,10.5123
0.163333,9.9524
0.166667,12.2050
0.170000,11.3642
0.173333,12.7222
0.176667,12.2665
0.180000,12.0187
0.183333,13.6303
0.186667,14.9581
0.190000,14.7567
0.193333,11.4029
0.196667,11.9098
0.200000,10.9660
0.203333,11.3906
0.206667,13.2137
0.210000,14.7517
0.213333,15.5315
0.216667,13.4167
0.220000,13.9172
0.223333,12.3816
0.226667,12.8504
0.230000,10.8846
0.233333,10.2573
0.236667,10.4999
0.240000,10.7934
0.243333,10.5725
0.246667,11.3032
0.250000,10.9808
0.253333,11.2265
0.256667,8.5545
0.260000,12.1667
