"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSG00000205277.10",671.242732326595,4.8450913184885,0.193101677814087,1.19484832796953e-139,2.53582660644974e-135
"ENSG00000067798.16",2523.66210847122,1.8998692086017,0.0916128793849932,9.2004235165007e-97,9.76302941453471e-93
"ENSG00000052802.13",1048.70998048079,2.17064918082607,0.11422736010326,9.65872724709095e-82,6.83290561216704e-78
"ENSG00000125740.14",1282.39852695876,-2.31245413730002,0.135465706593218,1.25241535719723e-66,6.64500278144922e-63
"ENSG00000135318.12",4501.413521781,1.45888964039506,0.0864164497919563,3.85958607977675e-65,1.63823990742204e-61
"ENSG00000137955.16",4324.63387764086,-1.4006519332254,0.0847917209542304,1.6941350464143e-62,5.99243801500846e-59
"ENSG00000112972.15",1277.48165440964,1.75415430117101,0.109929605300343,1.64819488427274e-58,4.9970914327029e-55
"ENSG00000177410.13",7570.98902343817,-1.3639955502415,0.0861582109583268,1.23619565058089e-57,3.27947253653479e-54
"ENSG00000019186.10",461.302957372964,-2.5790669327022,0.166681517855103,3.03798711491232e-55,7.16391117108714e-52
"ENSG00000167355.8",16021.8054224514,-1.41301806022459,0.0992464796267034,4.08664030827148e-47,8.67307672624456e-44
"ENSG00000236451.3",4337.09617914421,-1.26358358860859,0.0895055034098187,1.9629835304903e-46,3.7873090425087e-43
"ENSG00000213931.7",16952.2889503716,-1.38492624589041,0.0983201319301363,2.58443429590647e-46,4.57078742183525e-43
"ENSG00000196565.15",17166.1509457321,-1.37907066214562,0.0981499199735068,4.3485329179404e-46,7.09914723980378e-43
"ENSG00000204387.14",983.705442674072,-1.64398128131398,0.117481509865343,9.99256446778616e-46,1.5148013978559e-42
"ENSG00000239920.2",17392.0566969298,-1.35898373523907,0.0978858517568933,5.01526550180709e-45,7.09593198299013e-42
"ENSG00000104549.12",866.253206565185,1.6225652487001,0.118803292727288,1.09480543897442e-43,1.45219098945964e-40
"ENSG00000120738.8",6440.17847988326,-1.20654456900024,0.0903247440175251,7.36638638874935e-42,9.19628343108397e-39
