"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSG00000120738.8",5753.57672567512,-2.32289764681893,0.0830365000116829,1.74734769391047e-173,3.04492809140839e-169
"ENSG00000138166.6",24110.5172115269,-1.43231938290929,0.072369181503874,1.78591563998065e-88,1.55606829711514e-84
"ENSG00000122877.17",415.995171675434,-3.45061645393417,0.191802204843932,1.11151202464544e-73,6.45640284715714e-70
"ENSG00000142871.18",2193.50456958683,-1.50929048556226,0.0941652044882416,3.55316719137959e-59,1.54793728692452e-55
"ENSG00000012061.16",2071.71352993302,-1.63954030308972,0.105808344272315,1.92934815092521e-55,6.72416417560454e-52
"ENSG00000179388.9",291.913857299042,-3.76051957134591,0.243288034688903,3.9427315750265e-55,1.14510067377353e-51
"ENSG00000232536.1",2997.06370232371,-1.41962672887817,0.0934428242290791,1.84961830397728e-53,4.60449265215829e-50
"ENSG00000162772.17",5259.5276720086,-1.55307683873745,0.103683334384537,4.79380053640771e-52,1.04420960184301e-48
"ENSG00000171223.6",520.231210210526,-2.16115315301197,0.145823449541439,6.35437247069206e-51,1.23034771860311e-47
"ENSG00000143367.16",3482.99582112016,-1.32222926033245,0.0973290800687234,2.34024665223035e-43,4.07811381617661e-40
"ENSG00000160888.7",1656.16028819843,-1.51817159837019,0.112245135917556,6.52804151411726e-43,1.03416046750007e-39
"ENSG00000128016.7",1053.5847572144,-1.43174589967789,0.111346764999289,4.19647355979049e-39,6.09397902107576e-36
"ENSG00000148841.17",2439.36980660251,-1.12945915598754,0.0888708048491714,2.84605599170963e-38,3.81502859319476e-35
"ENSG00000153234.15",977.089545676129,-1.54493705004182,0.122492289852387,8.40710341599587e-38,1.04644417233674e-34
"ENSG00000112658.8",1331.79257934579,-1.29271097664875,0.104216865641269,1.2705803165473e-36,1.47607550641022e-33
"ENSG00000123358.20",2258.15125819338,-3.36515139978576,0.272627441860394,2.50270160397902e-36,2.72575488443365e-33
"ENSG00000125740.14",1228.72022645157,-3.62668852681253,0.296738721129961,9.27716881465705e-36,9.50964375083611e-33
"ENSG00000143384.14",4634.90226926386,-1.01043107603194,0.0843658758210464,2.55271552689242e-34,2.47131226509041e-31
"ENSG00000236451.3",4835.55006313796,-1.04955698608918,0.0886655595462855,1.28716321962627e-33,1.18053190869513e-30
"ENSG00000019186.10",561.58423215764,-1.57137877623757,0.142428129079169,1.22703221343429e-29,1.0691131675653e-26
"ENSG00000224467.1",966.087072968071,-1.28517471872637,0.118211672769001,7.49815672536872e-29,6.22204186172739e-26
"ENSG00000175592.9",2443.61421282818,-1.00545642312729,0.0925792054108239,9.92645142060953e-29,7.86265192979735e-26
"ENSG00000167460.17",5965.24938114663,-0.871295625247453,0.0807521145206863,2.15760108890755e-28,1.63471115544796e-25
"ENSG00000239498.1",11561.9725094831,-0.909276695278903,0.0872113634742187,1.05578468506259e-26,7.66587663412528e-24
"ENSG00000064666.15",1194.80608938753,-1.15537590259659,0.112182567231598,3.75608671867253e-26,2.6181426863835e-23
"ENSG00000267598.1",477.480080837043,-1.66206396060646,0.168387066660425,3.30032352793104e-24,2.21197837683563e-21
"ENSG00000142867.14",866.293783402133,-1.13793247541189,0.117669324789062,2.03504370589911e-23,1.31343228218511e-20
"ENSG00000259735.1",789.995185476258,-1.29184251243893,0.135372561847326,6.69589998150272e-23,4.16724118134523e-20
"ENSG00000198467.16",963.589860525522,-1.09170446522825,0.114749027242003,9.28145826660671e-23,5.57719626737547e-20
"ENSG00000279198.1",521.797328657192,-1.32466566500828,0.140554281838149,2.35622263996645e-22,1.36865119080185e-19
"ENSG00000159840.16",1542.50284785199,-1.1405352715714,0.122508765914995,6.33533961438563e-22,3.56127832646077e-19
"ENSG00000235337.1",3944.39410067367,-0.870215351249353,0.0955907918465636,4.67424294327418e-21,2.54541742279674e-18
"ENSG00000071127.17",3963.61970944379,-0.795755546990254,0.0890567946232314,2.28795685487451e-20,1.20817988342555e-17
"ENSG00000173334.4",8188.46920747734,-0.724970447111863,0.0821399658537813,6.37805811992133e-20,3.26894237640439e-17
"ENSG00000075426.12",1254.7800006474,-1.04022245495363,0.118137245862343,6.78001013265326e-20,3.37567018776045e-17
"ENSG00000224819.2",499.992684210328,-1.3814538656532,0.15857976520983,1.37804635775172e-19,6.6705099528282e-17
"ENSG00000259884.1",225.768472475397,-4.28471400596848,0.492488452377073,1.72226834934675e-19,8.11141844749092e-17
"ENSG00000253125.1",106.558445097572,-2.75991344774898,0.319071659389217,2.65864796243493e-19,1.21919998403661e-16
"ENSG00000118523.6",313.774517305845,-1.49249306055846,0.173433115259109,3.61533963490291e-19,1.61540790968764e-16
"ENSG00000188215.10",3595.76224409518,-0.71245746131495,0.0831165679392284,5.91145632882301e-19,2.57532594965174e-16
"ENSG00000006062.18",3254.77328073024,-0.771380267742236,0.0902203920752722,6.96649139993644e-19,2.96092875939738e-16
"ENSG00000225761.1",5769.72091930791,-1.49451177825134,0.179037521460872,3.33054842940577e-18,1.38186040311488e-15
"ENSG00000230131.6",1135.71207204082,-1.03434739429782,0.12523178703081,7.27285355245324e-18,2.94736618616396e-15
"ENSG00000100345.22",10729.4183768039,-0.602583804377424,0.0733880510141693,1.39699668370168e-17,5.53274186595126e-15
"ENSG00000177606.8",1367.15902142317,-0.923637588888484,0.113143744494856,1.78853044694923e-17,6.92598479300828e-15
"ENSG00000241553.13",1288.77569289741,-0.87580299812331,0.11161217487866,2.35320140257903e-16,8.91454079159614e-14
"ENSG00000170345.10",1201.29858686882,-2.81584503110304,0.360456225487213,2.5647312579162e-16,9.50915040435058e-14
"ENSG00000166483.12",1278.55587967947,-0.929939277581703,0.119239520034554,3.17088170036573e-16,1.15116217730361e-13
"ENSG00000100814.18",2489.40564776118,-0.678988560305149,0.0881360334569646,7.71649445154779e-16,2.74423739413616e-13
"ENSG00000067082.15",5154.2311024774,-0.663202735140892,0.0869490809457249,1.44054594956864e-15,5.02059074343661e-13
"ENSG00000156030.13",2211.05686989324,-0.69665043456583,0.0914144809561915,1.49470843593618e-15,5.10721356953409e-13
"ENSG00000101335.10",494.583740711398,-1.28668441743993,0.169611297220741,1.58573378390886e-15,5.31403786892226e-13
"ENSG00000228261.1",267.44438575894,-1.39548247200162,0.185174712564664,2.47226603149543e-15,8.12862412544138e-13
"ENSG00000095066.12",1326.26142567061,-0.793781501251789,0.105382152428635,2.81273068330762e-15,9.07678609024417e-13
"ENSG00000285966.1",422.191000015891,-1.19056645386425,0.160680290537085,6.24027980723854e-15,1.97714756219889e-12
"ENSG00000153487.13",469.406915380652,-1.06086534897195,0.143303760200511,6.83836014969501e-15,2.12795114229617e-12
"ENSG00000258602.1",345.81028474328,-1.26148769005638,0.172335720912927,1.23087871667999e-14,3.76303377488869e-12
