Protein.Group	Protein.Names	First.Protein.Description	Genes	DOUBLEdep_3	DOUBLEdep_2	DOUBLEdep_1	SRRM2dep_3	SRRM2dep_2	SONdep_3	SONdep_2	SONdep_1	control_3	control_2	control_1	SRRM2-dep_1	Top3_DOUBLEdep_1	Top3_DOUBLEdep_2	Top3_DOUBLEdep_3	Top3_SONdep_1	Top3_SONdep_2	Top3_SONdep_3	Top3_SRRM2-dep_1	Top3_SRRM2dep_2	Top3_SRRM2dep_3	Top3_control_1	Top3_control_2	Top3_control_3	peptides_counts_all	iBAQ_DOUBLEdep_1	iBAQ_DOUBLEdep_2	iBAQ_DOUBLEdep_3	iBAQ_SONdep_1	iBAQ_SONdep_2	iBAQ_SONdep_3	iBAQ_SRRM2-dep_1	iBAQ_SRRM2dep_2	iBAQ_SRRM2dep_3	iBAQ_control_1	iBAQ_control_2	iBAQ_control_3	nbTrypticPeptides
A0A0J9YX94	PMA6F_HUMAN	NA	PNMA6F	15.0035881829272	14.5645425089077	NA	NA	NA	14.6502552077705	NA	14.488216732996	NA	NA	NA	14.8083659436376	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	9.90864280633596	10.3238762540058	9.74954047503854	NA	10.0666124612885	9.92689445371187	NA	NA	NA	NA	NA	27
A0A1B0GTH6	CS2IP_HUMAN	NA	CSNKA2IP	NA	12.7171408816367	12.8862186076145	12.880278011039	13.1464238898601	12.3291460260774	NA	13.1386061927198	12.0852433890917	NA	13.3188675772365	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	7.65686473231314	7.33816858961222	NA	7.37790270701588	NA	6.88169121586595	NA	7.51660102693166	7.55718063738364	7.700674920985	NA	6.74339437235831	46
A0A1B0GVH7	IQCM_HUMAN	NA	IQCM	NA	NA	NA	NA	NA	NA	NA	NA	16.7780899666707	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11.4704763781889	39
A0A2R8Y619	H2BE1_HUMAN	NA	H2BE1	18.6169759320039	NA	19.1051284266167	18.8399818470611	18.415333279116	18.5203616254291	19.0905569891096	18.8631699406825	19.3467539372666	19.352946465998	19.0994531195166	19.2507633434065	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	15.6558870485255	NA	15.2873516606975	15.3136802152606	15.6283553498912	15.1494858243222	15.5663736962679	14.9805710122585	15.5024278227277	15.6329668062968	15.8878849826115	15.9258248425863	12
A0AV96;A0AV96-2	RBM47_HUMAN	NA	RBM47	12.1114281915647	12.5780174726035	12.4237034497658	12.2064411011681	12.3790661997665	12.5613077135788	12.6630036242886	12.6220052380574	11.9431718164703	12.2152214963383	12.6481733538831	12.3076331606405	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	8.53182864960103	8.7106879427183	8.39246138201294	8.68965888488265	8.75246329474539	8.71790318069853	8.19775006926823	8.64126762586832	8.33909414493015	8.72649266508614	8.19508555796355	8.01015947656037	34
A0AVF1;A0AVF1-2	IFT56_HUMAN	NA	TTC26	11.8639695890413	11.834874790929	11.6634044420165	11.9668955504427	11.5038270201954	11.4864072675358	11.6328886265179	11.8922810107943	10.639568519214	11.4122819571503	11.8576300188133	11.2985493089084	11.4944965706062	11.7580319971621	11.8766378236676	11.7970111399747	11.5990124823555	11.3068034409575	NA	11.5931499488714	NA	11.7026144759271	NA	NA	3	8.57657108056308	8.50666761419749	8.56575876564845	8.55006257458691	8.14432870921928	7.80900497165712	7.25338054581172	8.0614087344827	7.60031000930575	8.37607773022633	7.90325876431645	6.54996587666041	41
A0AVT1	UBA6_HUMAN	NA	UBA6	13.6212563540209	13.691298752326	13.6887885755798	13.6127639776698	13.5643643551845	13.7190945672838	13.69951946348	13.6506573707142	13.5659429071738	13.6220159436855	13.5675618709422	13.5560379362397	15.6827377428681	15.9240779108266	15.9178365686885	15.7065699777843	15.7938342261888	15.9428586444102	15.7692881489582	15.8771348592839	15.5492934197922	15.7192133344806	15.9526649045739	15.7850477693953	40	13.4872534247706	13.5581756781916	13.4812039978868	13.4255414328505	13.443467073985	13.6214799859625	13.1901801675179	13.598832905773	13.4195856244927	13.299308782819	13.3312554266036	13.3306974040679	69
A0FGR8-6	ESYT2_HUMAN	NA	ESYT2	13.1482806494698	13.072816010078	13.2928718688606	13.0482395303058	13.0685249787333	13.0897600391359	13.0819405596861	13.1911938599651	12.8580235905113	13.1918957620648	13.1773933235012	13.2882069334365	15.2900239272887	15.0333113855412	15.0501945747745	15.1231796973159	15.0524856635307	15.138987656826	14.9891310468191	15.1043541813832	15.0491305412059	14.7789542442305	15.0505658486898	14.841648594538	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0JNW5	UH1BL_HUMAN	NA	UHRF1BP1L	12.1838910501298	12.1248062467397	12.3216552733091	12.5476644978928	11.9555887585932	12.387751398641	12.4744665879941	12.428307961057	12.3543963049965	12.5798952026039	12.2366508617471	12.4826360616974	12.8901528001218	13.038749164956	12.8797940028695	13.2916136864352	13.3135978133359	12.9352484359961	12.932468784529	12.6407785103691	13.2026649560505	12.8129876855701	13.3742484992623	13.2972907701406	6	8.5123470329854	8.37461856913195	8.50897429461899	8.6374118884576	8.9479067425355	8.26363904405444	8.62243698988024	8.15972771898496	8.80987178973132	8.45134359815058	9.04007328795338	8.622650638536	98
A0MZ66	SHOT1_HUMAN	NA	SHTN1	13.9635421334682	14.0457412848627	13.8194568949495	14.0100340578809	13.9701538650166	13.9951961995142	13.774705668747	14.0222453166305	13.7500704764358	13.7918432770109	13.770785164598	13.4422336832417	15.5993784994633	16.0179862117628	16.0119465680532	15.9984379538348	15.3997749871322	15.9143887182676	15.3892465831564	16.2823644566439	16.0943764837826	15.7369518629913	15.4920515886655	15.5581262437052	28	13.4212504968005	13.7274939628595	13.5960977208217	13.5876145360162	13.2162922775327	13.6373222830564	12.919105628428	13.9149888073508	13.7151042237952	13.2810797451563	13.1272461882824	13.2196481186828	50
