Genes	Protein.Group	Protein.Names	DOUBLEdep_1	DOUBLEdep_2	DOUBLEdep_3	SONdep_1	SONdep_2	SONdep_3	SRRM2-dep_1	SRRM2dep_2	SRRM2dep_3	control_1	control_2	control_3	Top3_DOUBLEdep_1	Top3_DOUBLEdep_2	Top3_DOUBLEdep_3	Top3_SONdep_1	Top3_SONdep_2	Top3_SONdep_3	Top3_SRRM2-dep_1	Top3_SRRM2dep_2	Top3_SRRM2dep_3	Top3_control_1	Top3_control_2	Top3_control_3	peptides_counts_all
A2M	P01023	A2MG_HUMAN	10169.1	13972.6	10160.2	13244.7	11302.9	13268.2	5910.1	9447.17	11225.1	6196.12	10309.8	8142.55	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
AAAS	Q9NRG9;Q9NRG9-2	AAAS_HUMAN	10678.3	9529.35	14175	8604.15	9175.67	15087.2	13080.2	13681.9	16869.6	17691.5	14398.4	16780.8	5962.97062268015	7848.76625504079	6920.54019234301	6576.52721223972	NA	11823.1055327059	4057.20087927149	11618.7228907936	13565.4243932551	9135.26690424953	6736.32759211257	10002.3587549132	5
AACS	Q86V21;Q86V21-2	AACS_HUMAN	8358.35	8383.23	7000.36	5565.56	9166.29	5082.58	8558.94	7937.28	10330	8083.31	10865.9	14257.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
AAGAB	Q6PD74	AAGAB_HUMAN	23175.2	20835.4	20024.8	27683	24360.5	30716	19172.6	22372.9	16137.6	19465.3	26076.1	21867.6	18335.1515720888	20221.7906600437	19574.6786039767	20696.6673671845	18687.8471968472	19994.6448407298	14550.9898667972	19471.9713211956	16355.8624490857	15123.5158118673	17912.6169907916	16026.1533574264	5
AAK1	Q2M2I8;Q2M2I8-2	AAK1_HUMAN	15429.7	14805.3	NA	14061.6	15661.6	14337.8	14771.4	12119.9	10430.4	16319.8	17398.3	12825.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
AAMP	Q13685	AAMP_HUMAN	50298	51266.9	45050.3	62257.2	68803.6	59582.4	149715	132494	136426	165394	166031	151317	24582.3042801097	23237.3816463899	25293.3704202157	32109.2547062347	29013.1744688772	23562.1143694125	58473.1171309461	66351.09675471	70958.9008534657	73263.0417998917	75707.3198648039	61484.4431552832	9
AAR2	Q9Y312	AAR2_HUMAN	44528.8	37802.4	45438.1	42091.4	39827.7	39844.2	45219.3	35866	37710.6	41804.8	44850.5	39128.8	32690.8858201661	34058.6394455766	36535.1985437531	33174.8972114022	29876.7672628471	35756.0215724946	26723.4941394673	36991.2671728991	31450.1711385841	29395.205403095	25642.2706090005	21777.867629943	7
AARS1	P49588	SYAC_HUMAN	210603	222287	214366	202471	209421	203723	216862	224503	218726	203726	196040	189115	178844.179929291	202744.990149208	210879.604914871	188457.24099164	202860.40429807	211101.815633005	182659.794871839	206953.896087328	208317.989366664	201686.306164258	186624.602841583	178076.213777364	41
AARS2	Q5JTZ9	SYAM_HUMAN	NA	3968.9	3628.15	4555.28	3727.15	3735.82	5029.12	4135.14	6209.44	5702.95	5566.27	5356	NA	2995.44108723579	3694.28269471307	2714.82658075198	NA	NA	NA	3249.92003811632	NA	3362.49648612528	NA	NA	3
AARSD1	Q9BTE6;Q9BTE6-2;Q9BTE6-3	AASD1_HUMAN	8823.54	9875.22	11358.3	8558.04	9171.55	12993.4	13076.2	15124.1	14948.5	13340.2	13604.9	14481.1	7070.41865968059	7589.38958757881	8387.23870861675	6537.65188876364	7701.0382874627	11315.4269921686	9753.73772421698	11693.7533563659	13036.3514216465	10332.6103842762	10137.0618269765	12321.78542376	5
AASDH	Q4L235;Q4L235-2;Q4L235-3;Q4L235-4	ACSF4_HUMAN	9537.8	10864.3	10851.6	11322.2	12882.8	7537.48	7241.56	6116.16	5955.46	8141.44	8784.4	6945.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
AASDHPPT	Q9NRN7	ADPPT_HUMAN	15134.9	8113.73	12979.6	13975.5	12357.8	8909.44	12372.1	12233	9424.41	10091.3	13768.5	9471.11	8364.19942436842	4786.35394676052	5822.97544721011	6919.54016109717	7434.72788069516	5927.33857927086	6203.79703579812	7125.52004310835	7491.89568192082	NA	NA	6562.73453957335	3
AASS	Q9UDR5	AASS_HUMAN	1483.78	1351.65	NA	1684.57	1212.32	1517.16	NA	1902.38	1628.8	1843.76	1452.35	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
AATF	Q9NY61	AATF_HUMAN	106902	100413	112272	108865	110553	92370.1	105040	103360	102848	115421	110512	125471	71633.8560132602	76544.5064543798	82355.1227470091	72267.1451214569	78992.8026702996	71042.3449632465	68291.4527908582	68551.5337056383	72492.5212590273	74930.2241998585	74414.9037633028	77215.5697954139	16
