Genes	G:\18.8.23_Michal\CSSdp12_S1-B12_1_3444.d.dia	G:\18.8.23_Michal\CSSdp11_S1-B11_1_3443.d.dia	G:\18.8.23_Michal\CSSdp10_S1-B10_1_3442.d.dia	G:\18.8.23_Michal\CSSde9_S1-B9_1_3441.d.dia	G:\18.8.23_Michal\CSSde8_S1-B8_1_3440.d.dia	G:\18.8.23_Michal\CSSnp6_S1-B6_1_3438.d.dia	G:\18.8.23_Michal\CSSnp5_S1-B5_1_3437.d.dia	G:\18.8.23_Michal\CSSnp4_S1-B4_1_3436.d.dia	G:\18.8.23_Michal\CSSne3_S1-B3_1_3435.d.dia	G:\18.8.23_Michal\CSSne2_S1-B2_1_3434.d.dia	G:\18.8.23_Michal\CSSne1_S1-B1_1_3433.d.dia	G:\18.8.23_Michal\CSSde7_S1-B7_1_3439.d.dia
A2M	10160.2	13972.6	10169.1	11225.1	9447.17	13268.2	11302.9	13244.7	8142.55	10309.8	6196.12	5910.1
AAAS	14175	9529.35	10678.3	16869.6	13681.9	15087.2	9175.67	8604.15	16780.8	14398.4	17691.5	13080.2
AACS	7000.36	8383.23	8358.35	10330	7937.28	5082.58	9166.29	5565.56	14257.2	10865.9	8083.31	8558.94
AAGAB	20024.8	20835.4	23175.2	16137.6	22372.9	30716	24360.5	27683	21867.6	26076.1	19465.3	19172.6
AAK1	17678.5	14805.3	15429.7	10430.4	12119.9	14337.8	15661.6	14061.6	12825.4	17398.3	16319.8	14771.4
AAMP	45050.3	51266.9	50298	136426	132494	59582.4	68803.6	62257.2	151317	166031	165394	149715
AAR2	45438.1	37802.4	44528.8	37710.6	35866	39844.2	39827.7	42091.4	39128.8	44850.5	41804.8	45219.3
AARS1	214366	222287	210603	218726	224503	203723	209421	202471	189115	196040	203726	216862
AARS2	3628.15	3968.9	2478.72	6209.44	4135.14	3735.82	3727.15	4555.28	5356	5566.27	5702.95	5029.12
AARSD1	11358.3	9875.22	8823.54	14948.5	15124.1	12993.4	9171.55	8558.04	14481.1	13604.9	13340.2	13076.2
AASDHPPT	12979.6	8113.73	15134.9	9424.41	12233	8909.44	12357.8	13975.5	9471.11	13768.5	10091.3	12372.1
AATF	112272	100413	106902	102848	103360	92370.1	110553	108865	125471	110512	115421	105040
ABCB10	5387.88	3655.28	5866.07	3607.19	3969.59	4035.04	6103.16	4339.46	4598.16	6850.5	4937.15	5383.04
ABCC1	11985.5	11054	10129.4	9940.7	9703.17	9867.18	10518.4	11147.9	10689.4	9152.63	8780.72	10054.5
ABCC4	20710.9	21474.5	21548.9	19577.9	18084.1	19063.4	25327.7	23643.4	20946.6	26017.1	24403.2	21996.7
ABCD1	2547.36	3148.67	3888.09	3319.02	2857.12	934.475	3712.29	2315.83	6290.4	3838.89	4876.51	3987.13
ABCD3	21314.3	21223.8	20649.9	20327.5	17482.3	21172.8	18492.9	18541.2	15294.8	17549.3	18732.6	17343.1
ABCE1	208967	234238	219747	193449	233228	216224	207121	230938	173300	170359	176565	195254
ABCF1	47134.5	45109	44112.5	48260.6	56801.9	50337.3	51309.3	49766.6	40177.5	42957.6	52339.8	42800.8
ABCF2	118634	125494	127462	135930	132859	138538	141650	143688	146419	166187	153953	150852
ABCF3	10926.9	15747.5	15555.3	23256.1	27315.3	17859.3	14249.2	15939.6	13879.3	16171.3	16307.3	14150.7
ABHD10	230115	250324	200905	257282	242327	278414	192792	264669	194852	159515	194446	128367
ABHD11	15656.5	14326.6	16064.2	17568.5	17755.3	15763.1	14653.2	14828.8	19806.6	21512.4	19131.9	15259.6
ABHD12	21650.4	23172	24843.1	20850.9	25727.1	15481.1	26079.8	21061.8	21421.5	20584.2	20705.3	23761.6
ABHD14B	61921.2	53116.9	59142.5	59080.4	49502	54717.4	63144	53625.6	76138.1	89722.6	70099.3	68291.1
ABHD16A	3073.39	1337.01	871.629	6946.96	4537.6	7156.15		2921.41		1662.48	1349.55	
ABHD17B	2037.61			5286.24	1883.66	8385.17	1337.67	2479.45	2126.05	2578.59	3880.82	2261.12
ABHD6	6086.25	6322.67	5607.35	5868	4761.19	5911.44	4355.91	5885.73	5690.84	5004.85	3210.46	4495.4
ABI1	12774	11548.8	12112.7	11930.5	12658.7	11758.4	12121.8	13993.3	12604.3	13125.3	11017.8	13424.8
ABI2	14237.5	12002.6	12462	10605.1	10627.9	5636.53	16224.5	12991.9	17617.4	20976.4	15334.4	19968.9
ABITRAM	5941.84	3641.42	5904.67	3158.06	4574.63	4377.26	5089.67	7161.11	4199.06	2865.07	2958.07	4438.57
ABL1	8675.95	9287.61	10063.4	9104.47	7503.71	9108.63	9154.46	9308.87	8680.03	7527.15	9475.5	6263.19
ABL2	5244.11	5625.09	6181.92	5577.17	6390.87	5552.32	4601.08	5755.38	5979.75	6742.22	5343.19	5441.99
ABLIM1	27088.9	23621.2	27235.9	27720.6	21051	25452.8	28544	28460.7	26207	17227.5	24277.8	17187.1
ABR	10687.8	11025	11027.1	9575.12	9399.19	10676.3	11359.7	9280.74	8893.79	9626.4	10282.3	9860.99
ABRACL	25402.1	23903.2	26627.9	22144.9	17015.6	21131.5	30118.1	24653.6	31136.3	33270.7	27922.6	26486
ABRAXAS2	26949.6	32955.5	28708.4	28512.7	31224.8	29469.5	21252.1	29970	22510.3	15355.1	22987.5	16673.8
ABT1	37789.4	34179.5	30511.1	33884.8	33144.6	32242.9	33172.4	31420.8	42387.2	32061	32850.4	33613.2
ACAA1	39267.1	41804.7	35963.2	49591.8	48611.2	40077.5	39436.5	45252.4	48995.4	40771.6	47773.6	34262.4
