"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"bin_24884",607.940199052667,-1.70274143669193,0.167455010819243,1.95737341590661e-25,5.76955388072631e-21
"bin_24903",599.042181056372,-1.73951500738269,0.173792432064678,9.68090114491842e-25,1.05549597568125e-20
"bin_24904",568.818860173804,-1.82787936676326,0.182837671207335,1.0742597119839e-24,1.05549597568125e-20
"bin_24905",518.924285906246,-1.81121525998262,0.185270589189376,9.73842159824927e-24,7.17624287574989e-20
"bin_17999",562.329256995443,-1.86760744326297,0.193094894513283,2.66079450263304e-23,1.56859157519223e-19
"bin_18026",576.952523397349,-1.65575259888879,0.172713939046615,6.67874420483882e-23,3.28104440303048e-19
"bin_24312",709.617492809775,-1.19778534264759,0.124901674114431,8.79753989418167e-23,3.70451837029856e-19
"bin_23661",673.981320927877,-1.32691427173993,0.139778554854421,1.91451300551889e-22,7.05402316883434e-19
"bin_15195",500.032532140629,-1.92325278124328,0.204533614570374,3.40523244361946e-22,1.11525146120141e-18
"bin_24907",554.983364566186,-1.72872344360581,0.190765087977486,9.02444562015281e-21,2.5837400454982e-17
"bin_24897",459.7145754829,-1.96909113426885,0.217763200844479,9.6421293596418e-21,2.5837400454982e-17
"bin_30894",34963.1559877358,-2.54632277589715,0.285587675237048,2.6578822783633e-20,6.52864483641972e-17
"bin_6",1919.57527397343,-1.11556490196377,0.12420811858424,2.88787719524123e-20,6.54792832361004e-17
"bin_26716",347.4607604622,-2.25795156892803,0.25721821819929,1.00104701331653e-19,1.98723427947479e-16
"bin_24898",487.560324778525,-1.86372644979714,0.212091270642437,1.0112808451663e-19,1.98723427947479e-16
"bin_25091",370.0681872096,-2.31819290907333,0.266193864680674,1.77702997945532e-19,3.19578110818926e-16
"bin_13603",368.704096121694,-2.1548043451062,0.247378847732669,1.84313607135355e-19,3.19578110818926e-16
"bin_17544",333.897531145641,-2.29371935284413,0.263849744251951,2.10046559449953e-19,3.43962910352602e-16
"bin_16733",302.672448653031,-2.51516017230485,0.290528123185278,2.65109905792637e-19,3.96591414342988e-16
"bin_25419",591.510276834779,-1.5468369231799,0.177952964104201,2.69094459453785e-19,3.96591414342988e-16
"bin_15352",487.678631023409,-1.72419923261855,0.199136726838717,3.27967176042931e-19,4.60340975287687e-16
"bin_24862",559.273565265331,-1.66701008124816,0.193934038231161,5.93703232821879e-19,7.95454385938987e-16
"bin_15356",520.737909910323,-1.52092765987022,0.177339106559511,9.23370338061186e-19,1.18335930803007e-15
"bin_16707",323.730837012872,-2.13422242884704,0.252080510200858,1.54506158625426e-18,1.8975931381846e-15
"bin_18732",358.274535639129,-2.05701252158927,0.243395922892666,1.81858462125716e-18,2.14418401184704e-15
"bin_15818",877.116579865053,-0.716147066761651,0.0836643883951341,2.47402177921287e-18,2.80477946015686e-15
"bin_25412",499.561952313917,-1.69663972666631,0.203257568316834,4.90457969566138e-18,5.35434781886351e-15
"bin_15359",533.995104180829,-1.63702938374577,0.197484845615843,8.16249458235008e-18,8.5927746539054e-15
"bin_22914",328.899182284863,-2.39080389111481,0.289782409335196,8.71117864240349e-18,8.85416212632708e-15
"bin_24894",426.72341823714,-2.04396268394177,0.247816801089299,9.85990269486586e-18,9.68768306112886e-15
"bin_15360",476.291763389251,-1.660921783333,0.201813246164795,1.32811123378731e-17,1.23886802247824e-14
"bin_18792",356.020693876099,-2.17845178898583,0.265469747959187,1.34495103539502e-17,1.23886802247824e-14
"bin_28667",408.709860596957,-1.87334346299671,0.228252917132649,1.5514580533196e-17,1.35334651490529e-14
"bin_25410",740.393556675019,-1.03271739476314,0.124849501389538,1.59975790899762e-17,1.35334651490529e-14
"bin_25285",395.566621094947,-1.96640063153504,0.240010373419901,1.6069727243074e-17,1.35334651490529e-14
"bin_18708",340.4020652409,-2.19421930430262,0.270306411850131,2.83934301095926e-17,2.32479096086209e-14
"bin_18811",406.241399269363,-2.05638135532891,0.253285255701415,2.93949299072783e-17,2.3417431187755e-14
"bin_13347",363.878093022124,-2.03134535505189,0.250706468586976,3.38916608595411e-17,2.62892261972588e-14
"bin_25390",504.738515825871,-1.79958243873887,0.222068104323446,3.55655790692661e-17,2.68802822729664e-14
"bin_18085",143.419847972395,-2.34894606065528,0.29213576672655,5.14864590409187e-17,3.7940371667253e-14
"bin_25301",350.225959234265,-2.17330169348477,0.270990805860053,6.28535361861193e-17,4.51870934785866e-14
"bin_20643",364.929057664782,-2.20520250533919,0.275134742012459,6.55314347183396e-17,4.59905849942328e-14
"bin_194",434.105614299236,-1.88682506965597,0.235239941019828,6.89609019255581e-17,4.72718963990175e-14
"bin_684",578.682148296064,-1.22774658795747,0.152610255868308,8.0962620735521e-17,5.42375956545504e-14
"bin_207",385.042187033033,-1.94254750419037,0.243057291781416,8.53049762438783e-17,5.5876655105879e-14
"bin_17531",376.076669907136,-2.08024941571254,0.261516710964226,1.08157411820901e-16,6.81112253602536e-14
"bin_27610",425.704975591744,-1.81837548866809,0.228023913311681,1.08604545797663e-16,6.81112253602536e-14
"bin_2583",421.031688713345,-1.8505290849476,0.232872122466606,1.25327948248807e-16,7.69618042204547e-14
"bin_11044",384.982349710954,-1.89838123628439,0.239007546818587,1.29174320085581e-16,7.77049440580117e-14
"bin_20562",427.252734431367,-1.73081595970061,0.218026629910576,1.41216925381823e-16,8.32502018510925e-14
"bin_24684",448.021027538443,-1.59102903064751,0.200250670917171,1.44052684930941e-16,8.32568027651847e-14
"bin_13344",400.549242592392,-1.89082297232178,0.239138086217883,1.71496504801505e-16,9.6314590877735e-14
"bin_23746",384.770040298111,-1.98801597926429,0.251516651272744,1.73180666186727e-16,9.6314590877735e-14
"bin_5062",444.637549487461,-1.77118764510797,0.22431696179429,1.95269575822395e-16,1.0658825957298e-13
"bin_25559",389.219829689487,-2.02662824045819,0.257001297243586,1.99063207600801e-16,1.0668340194984e-13
"bin_13312",362.468763455172,-2.19738604515603,0.279298523402419,2.09475556504401e-16,1.10258955420067e-13
"bin_7380",480.820906414737,-1.47613885343392,0.186776839755058,2.14251553866767e-16,1.10794364943453e-13
"bin_2742",380.571619625383,-2.0522109908625,0.261361465066726,2.50729479263687e-16,1.27422450530628e-13
"bin_15708",401.780884714701,-1.9733737753486,0.251367426391594,2.57753374772001e-16,1.28441495411715e-13
"bin_15361",441.935380451837,-1.90081375303521,0.242133547266986,2.63336776185147e-16,1.28441495411715e-13
"bin_17451",434.862147682522,-1.71176588679984,0.21774275707297,2.65807138692991e-16,1.28441495411715e-13
"bin_5045",365.40517926014,-2.07086553080419,0.264417401112185,2.8743951731631e-16,1.3665430987767e-13
"bin_24053",328.228954404365,-2.21233644233476,0.282937388192814,3.09282285142414e-16,1.44704835505679e-13
"bin_28666",364.489787153035,-1.99673740645814,0.255332317627176,3.31596868056019e-16,1.51184410007554e-13
"bin_24224",561.784693506434,-1.44956116763303,0.184653234506524,3.33389423615519e-16,1.51184410007554e-13
"bin_24304",657.488700317107,-1.0444272033406,0.133219732525177,5.25904592542234e-16,2.34872178329922e-13
"bin_25374",526.212123578611,-1.60217389432784,0.206122454970472,5.52548234190945e-16,2.43088235089736e-13
"bin_25413",583.596238444498,-1.24202067308135,0.159662845997231,6.93035481726915e-16,3.00410497932096e-13
"bin_24303",420.928056676375,-1.74518263909938,0.225731369421203,7.29833235035633e-16,3.11776296172613e-13
"bin_15702",545.459880089632,-1.30198089204332,0.167146187396334,8.21798503245267e-16,3.46047609737964e-13
"bin_18432",390.50861061514,-1.99567788185614,0.259598966103804,9.22417896404572e-16,3.82946336822833e-13
"bin_24754",472.942058504137,-1.56319767922388,0.203051064330567,1.02574032238681e-15,4.19926690870465e-13
"bin_27628",431.27016679576,-1.81502610908175,0.236648799602081,1.14334925383753e-15,4.61662501453632e-13
"bin_17545",349.173993423823,-2.10267244165858,0.274778881613569,1.20432777170916e-15,4.7971304593107e-13
"bin_25734",305.072140137411,-1.95926650665327,0.256070291853193,1.25170785581398e-15,4.91937876772971e-13
"bin_28665",395.395737577247,-1.8070512300399,0.236378109436203,1.38543926125933e-15,5.343061557865e-13
"bin_15815",961.0268108097,-0.605114057910144,0.0772754822345083,1.39576516472929e-15,5.343061557865e-13
"bin_17048",489.594819850397,-1.50416158398697,0.196344474017366,1.43920302080357e-15,5.43871131297514e-13
"bin_18845",399.275040024294,-1.85033160519977,0.24303980858091,1.73389744071245e-15,6.36936641325424e-13
"bin_24952",390.367179153962,-1.88159605673178,0.247218519087706,1.74660547794822e-15,6.36936641325424e-13
"bin_19919",394.181188985217,-1.86598549748019,0.2451054326705,1.75030085314695e-15,6.36936641325424e-13
"bin_27478",471.930920097446,-1.5717738744184,0.206059382942535,1.77819716341888e-15,6.39196824255302e-13
"bin_15358",764.8354677672,-0.826265771508457,0.10692847494314,1.84967677593258e-15,6.52665957897816e-13
"bin_24127",407.380568029893,-1.79295731930272,0.235656904805365,1.85995184093556e-15,6.52665957897816e-13
"bin_22122",484.847490091024,-1.39324839501259,0.182467015252683,1.88782264568639e-15,6.54652474167672e-13
"bin_17791",1064.66765866023,-0.582677302967961,0.0747715682670003,1.97891431874744e-15,6.78261377434879e-13
"bin_24030",295.394207490491,-2.02195764010947,0.266799883650036,2.10368306822705e-15,7.12737495621384e-13
"bin_24098",385.456324549811,-1.95665905409149,0.259109139945143,2.68623641234994e-15,8.99767096482122e-13
"bin_10570",437.180673816469,-1.72985036082657,0.228981248448395,2.81524977218163e-15,9.32385418930625e-13
"bin_275",376.022193071392,-1.78722717967156,0.236690309909203,2.85955991734101e-15,9.3653764581715e-13
"bin_6755",368.224318560004,-1.87455342795707,0.248545668045364,2.95629115030913e-15,9.49753593737567e-13
"bin_16463",396.217717067867,-1.87503946714402,0.248648172200527,2.98076043302337e-15,9.49753593737567e-13
"bin_17686",434.963261712775,-1.66209870423684,0.220117121204397,2.99657634067016e-15,9.49753593737567e-13
"bin_28569",414.743202878908,-1.72420627665596,0.228527171497277,3.06888971176068e-15,9.62325458977212e-13
"bin_20459",474.486181646921,-1.45844877615274,0.192853658187161,3.14138381795086e-15,9.62357954424863e-13
"bin_18099",271.278718122574,-2.08879049434834,0.277682400915164,3.15689516151978e-15,9.62357954424863e-13
"bin_16670",380.527302382745,-1.87524116388664,0.248913262621404,3.16693993687107e-15,9.62357954424863e-13
"bin_25344",406.603101794022,-1.73884296469861,0.230636523033273,3.23316341861869e-15,9.64349113122216e-13
