,assembly,organism_name,group,taxid,total_gene_number
0,GCF_004115215.2,Ornithorhynchus_anatinus,vertebrate_mammalian,9258,18152
1,GCF_015852505.1,Tachyglossus_aculeatus,vertebrate_mammalian,9261,18929
2,GCF_902635505.1,Sarcophilus_harrisii,vertebrate_mammalian,9305,19966
3,GCF_011100635.1,Trichosurus_vulpecula,vertebrate_mammalian,9337,22532
4,GCF_030445035.2,Dasypus_novemcinctus,vertebrate_mammalian,9361,21697
5,GCF_950295315.1,Erinaceus_europaeus,vertebrate_mammalian,9365,20879
6,GCF_000313985.2,Echinops_telfairi,vertebrate_mammalian,9371,20007
7,GCF_000325575.1,Pteropus_alecto,vertebrate_mammalian,9402,18363
8,GCF_014176215.1,Rousettus_aegyptiacus,vertebrate_mammalian,9407,19070
9,GCF_021234435.1,Artibeus_jamaicensis,vertebrate_mammalian,9417,19344
10,GCF_019186645.2,Phyllostomus_hastatus,vertebrate_mammalian,9423,19524
11,GCF_022682495.2,Desmodus_rotundus,vertebrate_mammalian,9430,19269
12,GCF_020740605.2,Lemur_catta,vertebrate_mammalian,9447,19990
13,GCF_027406575.1,Nycticebus_coucang,vertebrate_mammalian,9470,22137
14,GCF_011100555.1,Callithrix_jacchus,vertebrate_mammalian,9483,22355
15,GCF_009761245.1,Sapajus_apella,vertebrate_mammalian,9515,20564
16,GCF_000955945.1,Cercocebus_atys,vertebrate_mammalian,9531,20614
17,GCF_037993035.1,Macaca_fascicularis,vertebrate_mammalian,9541,21813
18,GCF_003339765.1,Macaca_mulatta,vertebrate_mammalian,9544,21122
19,GCF_043159975.1,Macaca_nemestrina,vertebrate_mammalian,9545,21128
20,GCF_008728515.1,Papio_anubis,vertebrate_mammalian,9555,21091
21,GCF_003255815.1,Theropithecus_gelada,vertebrate_mammalian,9565,20683
22,GCF_000951045.1,Mandrillus_leucophaeus,vertebrate_mammalian,9568,20267
23,GCF_028878055.3,Symphalangus_syndactylus,vertebrate_mammalian,9590,22115
24,GCF_029289425.2,Pan_paniscus,vertebrate_mammalian,9597,22908
25,GCF_028858775.2,Pan_troglodytes,vertebrate_mammalian,9598,22576
26,GCF_028885625.2,Pongo_pygmaeus,vertebrate_mammalian,9600,22101
27,GCF_028885655.2,Pongo_abelii,vertebrate_mammalian,9601,22206
28,GCF_000001405.40,Homo_sapiens,vertebrate_mammalian,9606,23318
29,GCF_009914755.1,Homo_sapiens,vertebrate_mammalian,9606,20174
30,GCF_000002285.5,Canis_lupus_familiaris,vertebrate_mammalian,9615,20113
31,GCF_011100685.1,Canis_lupus_familiaris,vertebrate_mammalian,9615,21210
32,GCF_014441545.1,Canis_lupus_familiaris,vertebrate_mammalian,9615,20950
33,GCF_020975775.1,Ursus_americanus,vertebrate_mammalian,9643,20389
34,GCF_023065955.2,Ursus_arctos,vertebrate_mammalian,9644,20319
35,GCF_002007445.2,Ailuropoda_melanoleuca,vertebrate_mammalian,9646,20838
36,GCF_902655055.1,Lutra_lutra,vertebrate_mammalian,9657,20887
37,GCF_922984935.1,Meles_meles,vertebrate_mammalian,9662,21063
38,GCF_030435805.1,Mustela_lutreola,vertebrate_mammalian,9666,20701
39,GCF_011764305.1,Mustela_putorius_furo,vertebrate_mammalian,9669,20794
40,GCF_018350175.1,Felis_catus,vertebrate_mammalian,9685,20453
