"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"chr2&96705929&96740064&-&LMAN2L&ENSG00000114988&protein_coding&0.4496850739709975&Speckle&Speckle_100&  34135",142.900324206281,-1.15613979232455,0.22899389476267,3.62605071122361e-08,0.000465951741086649
"chrX&135156536&135171398&-&CT55&ENSG00000169551&protein_coding&0.38817117480823576&Interior_Act3&Interior_Act3_372&  14862",145.149159682962,0.983941535557265,0.199647813387073,7.06984836687326e-08,0.000465951741086649
"chr2&202265716&202303666&+&NOP58&ENSG00000055044&protein_coding&0.4115151515151515&Interior_Act1&Interior_Act1_169&  37950",166.564206567521,-1.11420457102686,0.227293666609981,7.32513348666324e-08,0.000465951741086649
"chr19&50861568&50880567&+&KLK2&ENSG00000167751&protein_coding&0.4807621453760724&Speckle&Speckle_93&  18999",281.661217308646,0.876544564183808,0.184402996891496,1.93266458737983e-07,0.000922025958024231
"chr19&9247344&9252625&+&OR7E24&ENSG00000237521&protein_coding&0.42567695512213594&Near_Lm1&Near_Lm1_97&   5281",137.482867769608,1.08638340384843,0.241335273590062,4.95603182222225e-07,0.00149289349616528
"chr2&73926826&73958961&+&DGUOK&ENSG00000114956&protein_coding&0.42813132098957524&Speckle&Speckle_98&  32135",142.978715937245,-0.937606537374123,0.206668668678323,5.25491448182078e-07,0.00149289349616528
"chr12&68686734&68745809&+&NUP107&ENSG00000111581&protein_coding&0.393245873889124&Interior_Act1&Interior_Act1_94&  59075",262.466505848307,-0.787467769443931,0.172187617232266,5.47621153548025e-07,0.00149289349616528
"chr10&45000475&45005326&+&ZNF22&ENSG00000165512&protein_coding&0.4184704184704185&Interior_Repr1&Interior_Repr1_33&   4851",79.7678408334057,1.25480418584813,0.2919075297729,1.10190660715353e-06,0.00262846047303886
"chr19&40991250&41018398&+&CYP2B6&ENSG00000197408&protein_coding&0.44655223220863416&Interior_Act2&Interior_Act2_187&  27148",431.55614578949,0.852905320442109,0.196163148010636,1.33708990819642e-06,0.00283507630201247
"chr15&43358172&43371025&-&ZSCAN29&ENSG00000140265&protein_coding&0.44129775149770484&Speckle&Speckle_49&  12853",464.736877231275,0.959501294396647,0.225492956946141,1.74584188586482e-06,0.00328190237448701
"chr1&78649796&78664078&+&IFI44&ENSG00000137965&protein_coding&0.3531718246744153&Near_Lm2&Near_Lm2_2&  14282",258.910237874016,0.91502826896054,0.215585961237382,1.91898608868974e-06,0.00328190237448701
"chr12&53268299&53293643&+&ESPL1&ENSG00000135476&protein_coding&0.5169270833333334&Speckle&Speckle_41&  25344",88.7321888991515,-1.11368707261774,0.265880540614408,2.06376505234209e-06,0.00328190237448701
"chr17&29573469&29594054&-&GIT1&ENSG00000108262&protein_coding&0.6072382803011902&Speckle&Speckle_69&  20585",74.5794233242557,-1.06617330055258,0.255088066987633,2.30703825895101e-06,0.00338655469965862
"chr2&26764284&26781231&+&SLC35F6&ENSG00000213699&protein_coding&0.5265828760252552&Speckle&Speckle_95&  16947",72.003524323737,-1.19813362791698,0.29058258966257,2.58837938575163e-06,0.00348320592086848
"chr10&71212570&71302864&+&UNC5B&ENSG00000107731&protein_coding&0.5437016856048021&Speckle&Speckle_22&  90294",354.104184208528,-0.746411857350001,0.176662842969762,2.84914777437409e-06,0.00348320592086848
"chr2&74361154&74392087&-&DCTN1&ENSG00000204843&protein_coding&0.499628228752465&Speckle&Speckle_98&  30933",140.209922653474,-0.905872531110422,0.218373136440253,3.05550074800521e-06,0.00348320592086848
"chr1&43525187&43623666&+&PTPRF&ENSG00000142949&protein_coding&0.5569004559347678&Speckle&Speckle_14&  98479",390.844619596766,-0.728287299609205,0.172837969607786,3.15040267422386e-06,0.00348320592086848
"chr12&2857681&2877155&-&FOXM1&ENSG00000111206&protein_coding&0.48064085447263016&Interior_Act2&Interior_Act2_62&  19474",71.7402799679763,-1.12276509006272,0.274758328242385,3.285526729321e-06,0.00348320592086848
"chr1&54715822&54742657&+&TTC4&ENSG00000243725&protein_coding&0.42064468045463016&Interior_Act1&Interior_Act1_11&  26835",118.778192008222,-0.990764790424602,0.244004451591388,4.0797190087074e-06,0.00350956292546222
"chr20&63865228&63891545&+&TPD52L2&ENSG00000101150&protein_coding&0.5436409925143444&Speckle&Speckle_111&  26317",97.9485439582687,-1.08494500763266,0.269494814877435,4.29708890794697e-06,0.00350956292546222
"chr14&104138723&104180894&+&KIF26A&ENSG00000066735&protein_coding&0.6377368333689029&Interior_Act2&Interior_Act2_91&  42171",127.538636262486,-0.925966674149229,0.228273053536415,4.45284710632837e-06,0.00350956292546222
"chr11&118572390&118603033&+&ARCN1&ENSG00000095139&protein_coding&0.42329406389713803&Speckle&Speckle_36&  30643",131.700570037292,-0.866619043016678,0.213161845338185,4.62482427212473e-06,0.00350956292546222
"chr3&119146150&119160042&+&C3orf30&ENSG00000163424&protein_coding&0.38338612150878204&Interior_Repr2&Interior_Repr2_152&  13892",269.119291069483,0.841945088244739,0.207232529553692,4.7308221785643e-06,0.00350956292546222
"chr2&27217390&27243943&+&CAD&ENSG00000084774&protein_coding&0.5116935939441871&Speckle&Speckle_95&  26553",100.953171669605,-0.975116515685996,0.242088449771851,4.76605487518071e-06,0.00350956292546222
"chr11&67288547&67302485&+&ANKRD13D&ENSG00000172932&protein_coding&0.5350839431769264&Speckle&Speckle_32&  13938",189.972362178899,0.850723327925361,0.209724369826701,4.78988268909431e-06,0.00350956292546222
"chr19&49591643&49626439&+&PRR12&ENSG00000126464&protein_coding&0.5549488446947926&Speckle&Speckle_93&  34796",118.128058012951,-0.895297417566775,0.22119897154711,4.84831590448104e-06,0.00350956292546222
"chr10&100912569&100965136&+&SLF2&ENSG00000119906&protein_coding&0.3903399471151102&Speckle&Speckle_23&  52567",353.371531475953,-0.678616275462849,0.164178923804873,4.98019928278724e-06,0.00350956292546222
"chr12&31959370&31993107&+&KIAA1551&ENSG00000174718&protein_coding&0.4161306577348312&Interior_Act1&Interior_Act1_89&  33737",409.282894204078,0.705881579656514,0.171903835003798,5.14949231844794e-06,0.00350956292546222
"chr17&74579365&74592283&-&CD300LD&ENSG00000204345&protein_coding&0.45641740207462456&Interior_Act2&Interior_Act2_164&  12918",279.111039981373,0.917962028509401,0.230775762631023,6.05760485924078e-06,0.00398611288030661
"chr11&9384622&9448126&+&IPO7&ENSG00000205339&protein_coding&0.4040060468631897&Speckle&Speckle_27&  63504",273.393978374107,-0.716720632677203,0.17679250849039,6.44221979376582e-06,0.00401121171731557
"chr12&10069554&10111627&-&CLEC1A&ENSG00000150048&protein_coding&0.38856273619661064&Near_Lm1&Near_Lm1_27&  42073",798.036454519294,0.814102179750286,0.205430068341104,7.64450808412145e-06,0.00401121171731557
"chr11&61768501&61792802&-&TMEM258&ENSG00000134825&protein_coding&0.5849142010616847&Speckle&Speckle_31&  24301",86.2527683699872,-1.05487214354046,0.271665420462195,7.93070266808229e-06,0.00401121171731557
"chr1&157830914&157898256&-&CD5L&ENSG00000073754&protein_coding&0.3968845594131448&Near_Lm1&Near_Lm1_10&  67342",933.599124742911,0.647389932710897,0.160402981013592,8.10223203884118e-06,0.00401121171731557
