"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"chr5&17597232&17597828&-&TAF11L10&ENSG00000284356&protein_coding&0.5822147651006712&Near_Lm1&Near_Lm1_173&    596",107.122600782467,1.24562483655554,0.275198768449595,4.02206238526414e-07,0.00335721713998554
"chr1&173635333&173637134&+&TEX50&ENSG00000232113&protein_coding&0.3353692393114936&Interior_Act3&Interior_Act3_17&   1801",83.9182060090536,1.45789483759982,0.325733833482729,4.47642882501155e-07,0.00335721713998554
"chr7&127610292&127618114&-&PAX4&ENSG00000106331&protein_coding&0.5069036052160573&Interior_Act3&Interior_Act3_316&   7822",189.89072150394,1.11531911834741,0.248973173232637,5.61846001336418e-07,0.00335721713998554
"chr1&248095184&248101103&+&OR2L13&ENSG00000196071&protein_coding&0.3897617840851495&Interior_Repr2&Interior_Repr2_30&   5919",238.669269548333,1.29215597987961,0.294910784900175,7.55869699722957e-07,0.00338743005930843
"chr13&57167197&57170218&+&PRR20E&ENSG00000234278&protein_coding&0.497848394571334&Lamina&Lamina_51&   3021",127.836180844415,1.12698617662364,0.258635776908999,9.53910455731134e-07,0.00341995976588726
"chr10&68956128&68985073&+&DDX21&ENSG00000165732&protein_coding&0.4116427707721541&Speckle&Speckle_22&  28945",111.31638559881,-1.15400161318337,0.270031274358871,1.46369668317185e-06,0.00393076980980633
"chr1&248323630&248324568&-&OR2M7&ENSG00000177186&protein_coding&0.4680170575692964&Interior_Repr2&Interior_Repr2_30&    938",51.6103641381101,1.37185419504381,0.32640748481595,1.56195875436613e-06,0.00393076980980633
"chr3&119146150&119160042&+&C3orf30&ENSG00000163424&protein_coding&0.38338612150878204&Interior_Repr2&Interior_Repr2_152&  13892",261.875980819752,0.973425325708234,0.228345666894806,1.75422060015902e-06,0.00393076980980633
"chr17&22523111&22524663&+&MTRNR2L1&ENSG00000256618&protein_coding&0.4104381443298969&Near_Lm1&Near_Lm1_89&   1552",83.3171745100807,1.13735598022548,0.281697355675707,3.75333827336804e-06,0.00697333297296147
"chr12&55293988&55296569&-&OR6C6&ENSG00000188324&protein_coding&0.34289035257652073&Near_Lm1&Near_Lm1_28&   2581",62.224314219785,1.3564583875545,0.342438999631043,4.42261150821098e-06,0.00697333297296147
"chr11&67288547&67302485&+&ANKRD13D&ENSG00000172932&protein_coding&0.5350839431769264&Speckle&Speckle_32&  13938",185.750388809884,0.984206810717675,0.243279134275389,4.42767496628924e-06,0.00697333297296147
"chr22&39499432&39518132&+&MIEF1&ENSG00000100335&protein_coding&0.4985026737967914&Speckle&Speckle_116&  18700",58.9362543829687,-1.27965826202854,0.32071719843667,4.66807964272775e-06,0.00697333297296147
"chr15&43358172&43371025&-&ZSCAN29&ENSG00000140265&protein_coding&0.44129775149770484&Speckle&Speckle_49&  12853",460.191593326435,1.10066665650366,0.27733479977079,5.3513713551583e-06,0.00737912945481289
"chr2&224703764&224716365&-&CCDC195&ENSG00000283428&protein_coding&0.3990159511149909&Interior_Act3&Interior_Act3_149&  12601",139.369891358371,0.824045457468145,0.209072076252997,8.71570778275652e-06,0.0111598412652638
"chr2&11658178&11670164&-&NTSR2&ENSG00000169006&protein_coding&0.5053395628232938&Interior_Act3&Interior_Act3_108&  11986",195.09499144157,0.927175830011459,0.240656140606256,1.04029797458402e-05,0.0116968827544966
"chr11&117836976&117877486&-&FXYD6&ENSG00000137726&protein_coding&0.48086892125401137&Interior_Act1&Interior_Act1_82&  40510",384.064724631713,0.854407891107887,0.219978998664684,1.04401497306675e-05,0.0116968827544966
"chr16&3382081&3401065&-&ZSCAN32&ENSG00000140987&protein_coding&0.45475136957437845&Speckle&Speckle_53&  18984",516.285472553677,0.934358873240295,0.243873646997297,1.13644416523166e-05,0.0119834694740839
"chr1&237877864&237890922&-&ZP4&ENSG00000116996&protein_coding&0.4381222239240312&Near_Lm2&Near_Lm2_8&  13058",397.864062013004,1.0089655645628,0.267255252018676,1.28097275057327e-05,0.0120581153461242
"chr14&34515929&34539711&-&EAPP&ENSG00000129518&protein_coding&0.4409637540997393&Interior_Act2&Interior_Act2_80&  23782",96.0862241852356,-1.0373717164788,0.276488531222946,1.40612620796824e-05,0.0120581153461242
"chr19&44051367&44067991&+&ZNF223&ENSG00000178386&protein_coding&0.4375601539942252&Near_Lm1&Near_Lm1_106&  16624",627.407338756671,1.05864389885954,0.285007144663951,1.5315412709418e-05,0.0120581153461242
"chr10&133453928&133523558&+&SCART1&ENSG00000214279&protein_coding&0.4596869165589545&Interior_Act2&Interior_Act2_38&  69630",606.802044727151,0.930090940468172,0.248151367960114,1.59191082929977e-05,0.0120581153461242
"chr14&94462717&94479689&-&SERPINA9&ENSG00000170054&protein_coding&0.4626443554089088&Interior_Repr1&Interior_Repr1_98&  16972",270.424190309739,0.881961857488403,0.235589699111001,1.72508245689726e-05,0.0120581153461242
"chr3&14651746&14672659&+&CCDC174&ENSG00000154781&protein_coding&0.4227513986515565&Interior_Act1&Interior_Act1_181&  20913",80.5393170302333,-1.09297113774815,0.296033094328032,1.72548485094555e-05,0.0120581153461242
"chr1&248197265&248212925&+&OR2M3&ENSG00000228198&protein_coding&0.35977011494252875&Interior_Repr2&Interior_Repr2_30&  15660",691.681176423834,1.0957070423183,0.298587459301664,1.74801247608396e-05,0.0120581153461242
"chr11&62190216&62193539&+&SCGB1D1&ENSG00000168515&protein_coding&0.4839000902798676&Speckle&Speckle_31&   3323",43.4813920648595,1.26467025620827,0.348342668319993,1.77007999106002e-05,0.0120581153461242
"chr12&47782722&47833132&-&HDAC7&ENSG00000061273&protein_coding&0.5488593533029161&Speckle&Speckle_39&  50410",167.143978555272,-0.983772975411077,0.26583322856112,1.78163396832414e-05,0.0120581153461242
"chr15&74782057&74803198&+&CSK&ENSG00000103653&protein_coding&0.5663875880989546&Speckle&Speckle_52&  21141",65.7648324025728,-1.15442824650656,0.315729691832229,1.81618383546443e-05,0.0120581153461242
"chr1&40531561&40548169&+&ZNF684&ENSG00000117010&protein_coding&0.403118978805395&Interior_Act2&Interior_Act2_18&  16608",333.969897049094,0.935526510634727,0.255426930554388,2.16916449089317e-05,0.0138873009513396
"chr9&135623656&135639540&-&GLT6D1&ENSG00000204007&protein_coding&0.4162049861495845&Interior_Act2&Interior_Act2_319&  15884",481.20563421879,1.04470339213684,0.289015816964987,2.27174909326514e-05,0.0140283926600197
"chr3&193241125&193277738&+&HRASLS&ENSG00000127252&protein_coding&0.378417501980171&Interior_Repr2&Interior_Repr2_160&  36613",639.879783678629,0.921394905636793,0.252807362982742,2.39999088392472e-05,0.0140283926600197
"chr12&10069554&10111627&-&CLEC1A&ENSG00000150048&protein_coding&0.38856273619661064&Near_Lm1&Near_Lm1_27&  42073",795.096090285168,0.967233398358209,0.267119867456851,2.46140494976109e-05,0.0140283926600197
"chr1&12824605&12831410&-&PRAMEF11&ENSG00000239810&protein_coding&0.4802351212343865&Interior_Act2&Interior_Act2_4&   6805",88.0468701674372,1.09091083114284,0.305566574106162,2.50423164744298e-05,0.0140283926600197
"chr11&6019336&6034338&-&OR56A1&ENSG00000180934&protein_coding&0.38521530462604986&Interior_Repr2&Interior_Repr2_47&  15002",244.541718324266,0.939006057202341,0.260007130921834,2.6157178944779e-05,0.0142088966595184
"chr19&8721634&8732160&+&OR2Z1&ENSG00000181733&protein_coding&0.4699790993729812&Near_Lm1&Near_Lm1_97&  10526",148.676384422919,0.890059873549826,0.246610396517812,2.89383150860583e-05,0.0145899500942974
"chr7&99486519&99500324&-&ZNF394&ENSG00000160908&protein_coding&0.4759869612459254&Speckle&Speckle_136&  13805",213.931210567027,0.896679476864869,0.248924644663647,2.91735683001363e-05,0.0145899500942974
"chr1&78649796&78664078&+&IFI44&ENSG00000137965&protein_coding&0.3531718246744153&Near_Lm2&Near_Lm2_2&  14282",249.260702888816,0.984381539341667,0.276216616793506,2.93003572126915e-05,0.0145899500942974
"chr16&3382113&3397745&+&AC025283.2&ENSG00000262621&protein_coding&0.4534288638689867&Speckle&Speckle_53&  15632",472.598392210219,0.927830146685776,0.25954821234818,3.08036627712149e-05,0.0147540505667359
